sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_d_inner,dim_flange_thickness,dim_pn_mpa,dim_page,dim_bolt_circle_d,dim_stud_count,dim_pn,dim_execution,dim_outer_diameter,description,attributes,dim_h4,dim_bolt_d,dim_flange_type,dim_seal_face,dim_series,dim_mass_kg
гост-12820-1980-10-pn2p5-фп-20,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN10 PN2.5 Ст20 ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,20,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,20,,,,False,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=20; execution=1; material_grade=20; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-10-pn2p5-фп-09г2с,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN10 PN2.5 09Г2С ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,09Г2С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,09Г2С,,,,False,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=09Г2С; execution=1; material_grade=09Г2С; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-10-pn2p5-фп-09г2сP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN10 PN2.5 09Г2С ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,09Г2С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,09Г2С,,,,True,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=09Г2С; execution=1; material_grade=09Г2С; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5; supervised=Да,,10,,,,
гост-12820-1980-10-pn2p5-фп-12х18н10т,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN10 PN2.5 12Х18Н10Т ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,12Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,12Х18Н10Т,,,,False,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-10-pn2p5-фп-12х18н10тP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN10 PN2.5 12Х18Н10Т ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,12Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,12Х18Н10Т,,,,True,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5; supervised=Да,,10,,,,
гост-12820-1980-10-pn2p5-фп-08х18н10т,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN10 PN2.5 08Х18Н10Т ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,08Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,08Х18Н10Т,,,,False,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=08Х18Н10Т; execution=1; material_grade=08Х18Н10Т; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-10-pn2p5-фп-10,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN10 PN2.5 Ст10 ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,10,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,10,,,,False,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=10; execution=1; material_grade=10; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-10-pn2p5-фп-17г1с,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN10 PN2.5 17Г1С ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,17Г1С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,17Г1С,,,,False,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=17Г1С; execution=1; material_grade=17Г1С; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-10-pn2p5-фп-17г1сP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN10 PN2.5 17Г1С ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,17Г1С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,17Г1С,,,,True,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=17Г1С; execution=1; material_grade=17Г1С; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5; supervised=Да,,10,,,,
гост-12820-1980-10-pn2p5-фп-13хфа,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN10 PN2.5 13ХФА ГОСТ 12820-1980,10,,75,,,,2.5,,,0.25,13ХФА,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,13ХФА,,,,False,гост-12820-1980-10-pn2p5-фп,14,8,0.25,2,50,4,2.5,1,75,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 10. PN 2.5 МПа. Исполнение 1.,dn=10; outer_diameter=75; pn=2.5; mass_kg=0.25; material=13ХФА; execution=1; material_grade=13ХФА; d_inner=14; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=50; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-15-pn1-фп-20,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN1 Ст20 ГОСТ 12820-1980,15,,80,,,,1,,,0.29,20,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,20,,,,False,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=20; execution=1; material_grade=20; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1,,10,,,,
гост-12820-1980-15-pn1-фп-09г2с,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN1 09Г2С ГОСТ 12820-1980,15,,80,,,,1,,,0.29,09Г2С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,09Г2С,,,,False,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=09Г2С; execution=1; material_grade=09Г2С; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1,,10,,,,
гост-12820-1980-15-pn1-фп-09г2сP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN15 PN1 09Г2С ГОСТ 12820-1980,15,,80,,,,1,,,0.29,09Г2С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,09Г2С,,,,True,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=09Г2С; execution=1; material_grade=09Г2С; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1; supervised=Да,,10,,,,
гост-12820-1980-15-pn1-фп-12х18н10т,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN1 12Х18Н10Т ГОСТ 12820-1980,15,,80,,,,1,,,0.29,12Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,12Х18Н10Т,,,,False,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1,,10,,,,
гост-12820-1980-15-pn1-фп-12х18н10тP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN15 PN1 12Х18Н10Т ГОСТ 12820-1980,15,,80,,,,1,,,0.29,12Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,12Х18Н10Т,,,,True,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1; supervised=Да,,10,,,,
гост-12820-1980-15-pn1-фп-08х18н10т,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN1 08Х18Н10Т ГОСТ 12820-1980,15,,80,,,,1,,,0.29,08Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,08Х18Н10Т,,,,False,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=08Х18Н10Т; execution=1; material_grade=08Х18Н10Т; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1,,10,,,,
гост-12820-1980-15-pn1-фп-10,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN1 Ст10 ГОСТ 12820-1980,15,,80,,,,1,,,0.29,10,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,10,,,,False,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=10; execution=1; material_grade=10; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1,,10,,,,
гост-12820-1980-15-pn1-фп-17г1с,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN1 17Г1С ГОСТ 12820-1980,15,,80,,,,1,,,0.29,17Г1С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,17Г1С,,,,False,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=17Г1С; execution=1; material_grade=17Г1С; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1,,10,,,,
гост-12820-1980-15-pn1-фп-17г1сP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN15 PN1 17Г1С ГОСТ 12820-1980,15,,80,,,,1,,,0.29,17Г1С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,17Г1С,,,,True,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=17Г1С; execution=1; material_grade=17Г1С; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1; supervised=Да,,10,,,,
гост-12820-1980-15-pn1-фп-13хфа,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN1 13ХФА ГОСТ 12820-1980,15,,80,,,,1,,,0.29,13ХФА,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,13ХФА,,,,False,гост-12820-1980-15-pn1-фп,18,8,0.1,2,55,4,1,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 1 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=1; mass_kg=0.29; material=13ХФА; execution=1; material_grade=13ХФА; d_inner=18; flange_thickness=8; pn_mpa=0.1; page=2; bolt_circle_d=55; stud_count=4; pn=1,,10,,,,
гост-12820-1980-15-pn2p5-фп-20,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN2.5 Ст20 ГОСТ 12820-1980,15,,80,,,,2.5,,,0.29,20,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,20,,,,False,гост-12820-1980-15-pn2p5-фп,18,8,0.25,2,55,4,2.5,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 2.5 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=2.5; mass_kg=0.29; material=20; execution=1; material_grade=20; d_inner=18; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=55; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-15-pn2p5-фп-09г2с,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN2.5 09Г2С ГОСТ 12820-1980,15,,80,,,,2.5,,,0.29,09Г2С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,09Г2С,,,,False,гост-12820-1980-15-pn2p5-фп,18,8,0.25,2,55,4,2.5,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 2.5 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=2.5; mass_kg=0.29; material=09Г2С; execution=1; material_grade=09Г2С; d_inner=18; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=55; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-15-pn2p5-фп-09г2сP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN15 PN2.5 09Г2С ГОСТ 12820-1980,15,,80,,,,2.5,,,0.29,09Г2С,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,09Г2С,,,,True,гост-12820-1980-15-pn2p5-фп,18,8,0.25,2,55,4,2.5,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 2.5 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=2.5; mass_kg=0.29; material=09Г2С; execution=1; material_grade=09Г2С; d_inner=18; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=55; stud_count=4; pn=2.5; supervised=Да,,10,,,,
гост-12820-1980-15-pn2p5-фп-12х18н10т,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец ФП DN15 PN2.5 12Х18Н10Т ГОСТ 12820-1980,15,,80,,,,2.5,,,0.29,12Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,12Х18Н10Т,,,,False,гост-12820-1980-15-pn2p5-фп,18,8,0.25,2,55,4,2.5,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 2.5 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=2.5; mass_kg=0.29; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; d_inner=18; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=55; stud_count=4; pn=2.5,,10,,,,
гост-12820-1980-15-pn2p5-фп-12х18н10тP,ГОСТ 12820-1980,ГОСТ 12820-1980,фланцы,Фланцы,ФП,Фланец П ФП DN15 PN2.5 12Х18Н10Т ГОСТ 12820-1980,15,,80,,,,2.5,,,0.29,12Х18Н10Т,2,pdf/отводы/ГОСТ_12820_1980.pdf,,,,,,1,,12Х18Н10Т,,,,True,гост-12820-1980-15-pn2p5-фп,18,8,0.25,2,55,4,2.5,1,80,Изделие по ГОСТ 12820-1980. Тип: ФП. DN 15. PN 2.5 МПа. Исполнение 1.,dn=15; outer_diameter=80; pn=2.5; mass_kg=0.29; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; d_inner=18; flange_thickness=8; pn_mpa=0.25; page=2; bolt_circle_d=55; stud_count=4; pn=2.5; supervised=Да,,10,,,,
