sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_bend_type,dim_radius_ratio,dim_connection,dim_construction,dim_radius_mm,dim_f_mm,dim_h_mm,dim_c_mm,dim_b_mm,dim_gost_designation,description,attributes,dim_w_mm,dim_straight_length,dim_angle_length,dim_bend_length_l,dim_temperature_c,dim_pressure_standard,dim_with_support,dim_support_d,dim_length,dim_length_l,dim_outer_d_branch,dim_straight_min,dim_straight_min_1,dim_sector_h,dim_semi_sector_h_22_30,dim_semi_sector_h_15,dim_pn_non_aggressive,dim_pn_aggressive,dim_straight_length_1,dim_arc_length,dim_developed_length,dim_developed_b,dim_height_h,dim_wall_s1,dim_wall_sk,dim_inner_diameter,dim_pressure_group,dim_mass_method,dim_optional_execution,dim_data_source,dim_figure,dim_pipe_od,dim_pipe_wall,dim_dao,dim_wall_s2
гост-17375-2001-1-15-213-4-45--3-09г2с,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод 45° 21,3х4 исп. 1 09Г2С ГОСТ 17375-2001",15,,21.3,4,,,,45,28,0.04,09Г2С,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,09Г2С,,,45-1-21.3х4,False,гост-17375-2001-1-15-213-4-45--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,45-1-21.3х4,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 45°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 4 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 09Г2С. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=4; angle=45; radius=28; mass_kg=0.04; material=09Г2С; execution=1; material_grade=09Г2С; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=45-1-21.3х4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-4-45--3-09г2сP,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод П 45° 21,3х4 исп. 1 09Г2С ГОСТ 17375-2001",15,,21.3,4,,,,45,28,0.04,09Г2С,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,09Г2С,,,45-1-21.3х4,True,гост-17375-2001-1-15-213-4-45--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,45-1-21.3х4,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 45°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 4 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 09Г2С. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=4; angle=45; radius=28; mass_kg=0.04; material=09Г2С; execution=1; material_grade=09Г2С; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=45-1-21.3х4; supervised=Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-4-45--3-12х18н10т,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод 45° 21,3х4 исп. 1 12Х18Н10Т ГОСТ 17375-2001",15,,21.3,4,,,,45,28,0.04,12Х18Н10Т,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,12Х18Н10Т,,,45-1-21.3х4,False,гост-17375-2001-1-15-213-4-45--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,45-1-21.3х4,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 45°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 4 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 12Х18Н10Т. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=4; angle=45; radius=28; mass_kg=0.04; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=45-1-21.3х4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-4-45--3-12х18н10тP,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод П 45° 21,3х4 исп. 1 12Х18Н10Т ГОСТ 17375-2001",15,,21.3,4,,,,45,28,0.04,12Х18Н10Т,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,12Х18Н10Т,,,45-1-21.3х4,True,гост-17375-2001-1-15-213-4-45--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,45-1-21.3х4,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 45°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 4 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 12Х18Н10Т. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=4; angle=45; radius=28; mass_kg=0.04; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=45-1-21.3х4; supervised=Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-4-45--3-20,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод 45° 21,3х4 исп. 1 Ст20 ГОСТ 17375-2001",15,,21.3,4,,,,45,28,0.04,20,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,20,,,45-1-21.3х4,False,гост-17375-2001-1-15-213-4-45--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,45-1-21.3х4,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 45°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 4 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 20. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=4; angle=45; radius=28; mass_kg=0.04; material=20; execution=1; material_grade=20; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=45-1-21.3х4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-2-90--3-09г2с,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод 90° 21,3х2 исп. 1 09Г2С ГОСТ 17375-2001",15,,21.3,2,,,,90,28,0.04,09Г2С,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,09Г2С,,,90-1-21.3х2,False,гост-17375-2001-1-15-213-2-90--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,90-1-21.3х2,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 90°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 2 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 09Г2С. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=2; angle=90; radius=28; mass_kg=0.04; material=09Г2С; execution=1; material_grade=09Г2С; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=90-1-21.3х2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-2-90--3-09г2сP,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод П 90° 21,3х2 исп. 1 09Г2С ГОСТ 17375-2001",15,,21.3,2,,,,90,28,0.04,09Г2С,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,09Г2С,,,90-1-21.3х2,True,гост-17375-2001-1-15-213-2-90--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,90-1-21.3х2,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 90°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 2 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 09Г2С. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=2; angle=90; radius=28; mass_kg=0.04; material=09Г2С; execution=1; material_grade=09Г2С; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=90-1-21.3х2; supervised=Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-2-90--3-12х18н10т,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод 90° 21,3х2 исп. 1 12Х18Н10Т ГОСТ 17375-2001",15,,21.3,2,,,,90,28,0.04,12Х18Н10Т,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,12Х18Н10Т,,,90-1-21.3х2,False,гост-17375-2001-1-15-213-2-90--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,90-1-21.3х2,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 90°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 2 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 12Х18Н10Т. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=2; angle=90; radius=28; mass_kg=0.04; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=90-1-21.3х2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-2-90--3-12х18н10тP,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод П 90° 21,3х2 исп. 1 12Х18Н10Т ГОСТ 17375-2001",15,,21.3,2,,,,90,28,0.04,12Х18Н10Т,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,12Х18Н10Т,,,90-1-21.3х2,True,гост-17375-2001-1-15-213-2-90--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,90-1-21.3х2,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 90°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 2 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 12Х18Н10Т. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=2; angle=90; radius=28; mass_kg=0.04; material=12Х18Н10Т; execution=1; material_grade=12Х18Н10Т; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=90-1-21.3х2; supervised=Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-2-90--3-20,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод 90° 21,3х2 исп. 1 Ст20 ГОСТ 17375-2001",15,,21.3,2,,,,90,28,0.04,20,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,20,,,90-1-21.3х2,False,гост-17375-2001-1-15-213-2-90--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,90-1-21.3х2,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 90°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 2 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 20. Масса 0.04 кг.",dn=15; outer_diameter=21.3; wall_thickness=2; angle=90; radius=28; mass_kg=0.04; material=20; execution=1; material_grade=20; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=90-1-21.3х2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
гост-17375-2001-1-15-213-32-90--3-09г2с,ГОСТ 17375-2001,ГОСТ 17375-2001,отводы,Отводы,ОК,"Отвод 90° 21,3х3,2 исп. 1 09Г2С ГОСТ 17375-2001",15,,21.3,3.2,,,,90,28,0.06,09Г2С,3,pdf/отводы/ГОСТ_17375_2001.pdf,,,,,,1,,09Г2С,,,90-1-21.3х3.2,False,гост-17375-2001-1-15-213-32-90--3,1,3D,1.5DN,приварной,бесшовный,28,28,14,56,38,90-1-21.3х3.2,"Отвод по ГОСТ 17375-2001. Бесшовный приварной крутоизогнутый. Тип 3D, радиус R≈1.5DN. Угол 90°. DN 15. Наружный диаметр 21.3 мм. Толщина стенки 3.2 мм. Исполнение 1. F 28 мм H 14 мм C 56 мм B 38 мм. Марка стали 09Г2С. Масса 0.06 кг.",dn=15; outer_diameter=21.3; wall_thickness=3.2; angle=90; radius=28; mass_kg=0.06; material=09Г2С; execution=1; material_grade=09Г2С; bend_type=3D; radius_ratio=1.5DN; connection=приварной; construction=бесшовный; radius_mm=28; f_mm=28; h_mm=14; c_mm=56; b_mm=38; gost_designation=90-1-21.3х3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
