sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_bend_type,dim_radius_ratio,dim_connection,dim_construction,dim_radius_mm,dim_f_mm,dim_h_mm,dim_c_mm,dim_b_mm,dim_gost_designation,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,description,attributes,dim_w_mm,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_equal_pass,dim_length,dim_temperature,dim_height_mm,dim_cap_kind,dim_dimension_a,dim_flange_height_mm,dim_h1_mm,dim_surface_area_m2,dim_volume_dm3,dim_d_inner,dim_flange_thickness,dim_pn_mpa,dim_page,dim_bolt_circle_d,dim_stud_count,dim_outer_diameter,dim_h4,dim_bolt_d,dim_flange_type,dim_seal_face,dim_series,dim_mass_kg,dim_thread_size,dim_length_mm,dim_strength_class,dim_nominal_d_mm,dim_washer_type,dim_accuracy_class,dim_straight_length,dim_angle_length,dim_bend_length_l,dim_temperature_c,dim_pressure_standard,dim_length_l,dim_sector_h,dim_semi_sector_h_22_30,dim_pn_non_aggressive,dim_pn_aggressive,dim_arc_length,dim_developed_length,dim_developed_b,dim_wall_s1,dim_wall_sk,dim_pressure_group,dim_mass_method,dim_optional_execution,dim_data_source,dim_inner_diameter,dim_straight_length_1,dim_height_h,dim_figure,dim_pipe_od,dim_pipe_wall,dim_dao,dim_wall_s2,dim_with_support,dim_support_d
ост-24-125-09-89-01-100x80,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 100×80 133×14-108×12 ОСТ 24.125.09-1989,100,80,133,14,108,12,,,,4.5,,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,01,,,,,01 ОСТ 24.125.09-89,False,ост-24-125-09-89-01-100x80,01,,,,,,,,,,,variable,,08Х18Н10Т|12Х18Н10Т|10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 100×80. Большой конец 133×14 мм. Малый конец 108×12 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=100; dn_branch=80; outer_diameter=133; wall_thickness=14; outer_d_branch=108; wall_branch=12; execution=01; mass_kg=4.5; pressure=19.62; temperature_c=290,,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-03-125x100-10х17н13м2т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 133×14 исп.03 10Х17Н13М2Т ОСТ 24.125.09-1989,125,100,133,14,,,,,,6.5,10Х17Н13М2Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,03,,10Х17Н13М2Т,,,03 ОСТ 24.125.09-89,False,ост-24-125-09-89-03-125x100,03,,,,,,,,,,,variation,ост-24-125-09-89-03-125x100,10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 125×100. Большой конец 133×14 мм. Рабочее давление 19.62 МПа при 290 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=125; dn_branch=100; outer_diameter=133; wall_thickness=14; outer_d_branch=; wall_branch=; execution=03; mass_kg=6.5; pressure=19.62; temperature_c=290,,,,125,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-04-65x50,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 65×50 76×7-57×5.5 ОСТ 24.125.09-1989,65,50,76,7,57,5.5,,,,1.2,,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,04,,,,,04 ОСТ 24.125.09-89,False,ост-24-125-09-89-04-65x50,04,,,,,,,,,,,variable,,08Х18Н10Т|12Х18Н10Т|10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 65×50. Большой конец 76×7 мм. Малый конец 57×5.5 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=65; dn_branch=50; outer_diameter=76; wall_thickness=7; outer_d_branch=57; wall_branch=5.5; execution=04; mass_kg=1.2; pressure=17.66; temperature_c=360,,,,65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-04-65x50-08х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 76×7-57×5.5 исп.04 08Х18Н10Т ОСТ 24.125.09-1989,65,50,76,7,57,5.5,,,,1.2,08Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,04,,08Х18Н10Т,,,04 ОСТ 24.125.09-89,False,ост-24-125-09-89-04-65x50,04,,,,,,,,,,,variation,ост-24-125-09-89-04-65x50,08Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 65×50. Большой конец 76×7 мм. Малый конец 57×5.5 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=65; dn_branch=50; outer_diameter=76; wall_thickness=7; outer_d_branch=57; wall_branch=5.5; execution=04; mass_kg=1.2; pressure=17.66; temperature_c=360,,,,65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-04-65x50-12х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 76×7-57×5.5 исп.04 12Х18Н10Т ОСТ 24.125.09-1989,65,50,76,7,57,5.5,,,,1.2,12Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,04,,12Х18Н10Т,,,04 ОСТ 24.125.09-89,False,ост-24-125-09-89-04-65x50,04,,,,,,,,,,,variation,ост-24-125-09-89-04-65x50,12Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 65×50. Большой конец 76×7 мм. Малый конец 57×5.5 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=65; dn_branch=50; outer_diameter=76; wall_thickness=7; outer_d_branch=57; wall_branch=5.5; execution=04; mass_kg=1.2; pressure=17.66; temperature_c=360,,,,65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-04-65x50-10х17н13м2т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 76×7-57×5.5 исп.04 10Х17Н13М2Т ОСТ 24.125.09-1989,65,50,76,7,57,5.5,,,,1.2,10Х17Н13М2Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,04,,10Х17Н13М2Т,,,04 ОСТ 24.125.09-89,False,ост-24-125-09-89-04-65x50,04,,,,,,,,,,,variation,ост-24-125-09-89-04-65x50,10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 65×50. Большой конец 76×7 мм. Малый конец 57×5.5 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=65; dn_branch=50; outer_diameter=76; wall_thickness=7; outer_d_branch=57; wall_branch=5.5; execution=04; mass_kg=1.2; pressure=17.66; temperature_c=360,,,,65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-05-80x65,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 80×65 89×8-76×7.0 ОСТ 24.125.09-1989,80,65,89,8,76,7.0,,,,1.6,,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,05,,,,,05 ОСТ 24.125.09-89,False,ост-24-125-09-89-05-80x65,05,,,,,,,,,,,variable,,08Х18Н10Т|12Х18Н10Т|10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 80×65. Большой конец 89×8 мм. Малый конец 76×7.0 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=80; dn_branch=65; outer_diameter=89; wall_thickness=8; outer_d_branch=76; wall_branch=7.0; execution=05; mass_kg=1.6; pressure=17.66; temperature_c=360,,,,80,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-05-80x65-08х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 89×8-76×7.0 исп.05 08Х18Н10Т ОСТ 24.125.09-1989,80,65,89,8,76,7.0,,,,1.6,08Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,05,,08Х18Н10Т,,,05 ОСТ 24.125.09-89,False,ост-24-125-09-89-05-80x65,05,,,,,,,,,,,variation,ост-24-125-09-89-05-80x65,08Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 80×65. Большой конец 89×8 мм. Малый конец 76×7.0 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=80; dn_branch=65; outer_diameter=89; wall_thickness=8; outer_d_branch=76; wall_branch=7.0; execution=05; mass_kg=1.6; pressure=17.66; temperature_c=360,,,,80,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-05-80x65-12х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 89×8-76×7.0 исп.05 12Х18Н10Т ОСТ 24.125.09-1989,80,65,89,8,76,7.0,,,,1.6,12Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,05,,12Х18Н10Т,,,05 ОСТ 24.125.09-89,False,ост-24-125-09-89-05-80x65,05,,,,,,,,,,,variation,ост-24-125-09-89-05-80x65,12Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 80×65. Большой конец 89×8 мм. Малый конец 76×7.0 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=80; dn_branch=65; outer_diameter=89; wall_thickness=8; outer_d_branch=76; wall_branch=7.0; execution=05; mass_kg=1.6; pressure=17.66; temperature_c=360,,,,80,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-05-80x65-10х17н13м2т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 89×8-76×7.0 исп.05 10Х17Н13М2Т ОСТ 24.125.09-1989,80,65,89,8,76,7.0,,,,1.6,10Х17Н13М2Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,05,,10Х17Н13М2Т,,,05 ОСТ 24.125.09-89,False,ост-24-125-09-89-05-80x65,05,,,,,,,,,,,variation,ост-24-125-09-89-05-80x65,10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 80×65. Большой конец 89×8 мм. Малый конец 76×7.0 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=80; dn_branch=65; outer_diameter=89; wall_thickness=8; outer_d_branch=76; wall_branch=7.0; execution=05; mass_kg=1.6; pressure=17.66; temperature_c=360,,,,80,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-06-80x50,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 80×50 57×5.5 ОСТ 24.125.09-1989,80,50,,,57,5.5,,,,1.9,,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,06,,,,,06 ОСТ 24.125.09-89,False,ост-24-125-09-89-06-80x50,06,,,,,,,,,,,variable,,08Х18Н10Т|12Х18Н10Т|10Х17Н13М2Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 80×50. Малый конец 57×5.5 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=80; dn_branch=50; outer_diameter=; wall_thickness=; outer_d_branch=57; wall_branch=5.5; execution=06; mass_kg=1.9; pressure=17.66; temperature_c=360,,,,80,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
ост-24-125-09-89-06-80x50-08х18н10т,ОСТ 24.125.09-89,ОСТ 24.125.09-1989,переходы,Переходы,ПК,Переход 57×5.5 исп.06 08Х18Н10Т ОСТ 24.125.09-1989,80,50,,,57,5.5,,,,1.9,08Х18Н10Т,,pdf/переходы/ОСТ_24_125_09_89.pdf,,,,,,06,,08Х18Н10Т,,,06 ОСТ 24.125.09-89,False,ост-24-125-09-89-06-80x50,06,,,,,,,,,,,variation,ост-24-125-09-89-06-80x50,08Х18Н10Т,Нет,,onbackorder,no,Переход концентрический по ОСТ 24.125.09-1989. Тип: ПК. Ду 80×50. Малый конец 57×5.5 мм. Рабочее давление 17.66 МПа при 360 °C. Сталь аустенитная 08Х18Н10Т и аналоги.,dn=80; dn_branch=50; outer_diameter=; wall_thickness=; outer_d_branch=57; wall_branch=5.5; execution=06; mass_kg=1.9; pressure=17.66; temperature_c=360,,,,80,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,
