sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_thread_size,dim_length_mm,description,attributes,dim_strength_class,dim_nominal_d_mm,dim_washer_type,dim_accuracy_class
10494-ШП-14-60-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х60 Ст20 ГОСТ 10494-80,14,,14,60,,,,,,0.073,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,60,,,,,,20,,,,False,10494-ШП-14-60-20,14,60,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 60 мм. Марка стали 20. Масса 0.073 кг.,dn=14; outer_diameter=14; wall_thickness=60; mass_kg=0.073; material=20; thread_size=14; length_mm=60; material_grade=20; thread_size=14; length_mm=60,,,,
10494-ШП-14-115-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х115 Ст20 ГОСТ 10494-80,14,,14,115,,,,,,0.145,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,115,,,,,,20,,,,False,10494-ШП-14-115-20,14,115,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 115 мм. Марка стали 20. Масса 0.145 кг.,dn=14; outer_diameter=14; wall_thickness=115; mass_kg=0.145; material=20; thread_size=14; length_mm=115; material_grade=20; thread_size=14; length_mm=115,,,,
10494-ШП-14-120-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х120 Ст20 ГОСТ 10494-80,14,,14,120,,,,,,0.157,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,120,,,,,,20,,,,False,10494-ШП-14-120-20,14,120,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 120 мм. Марка стали 20. Масса 0.157 кг.,dn=14; outer_diameter=14; wall_thickness=120; mass_kg=0.157; material=20; thread_size=14; length_mm=120; material_grade=20; thread_size=14; length_mm=120,,,,
10494-ШП-14-130-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M14х130 Ст20 ГОСТ 10494-80,14,,14,130,,,,,,0.170,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,14,130,,,,,,20,,,,False,10494-ШП-14-130-20,14,130,Крепёж по ГОСТ 10494-1980. Резьба M14. Длина 130 мм. Марка стали 20. Масса 0.170 кг.,dn=14; outer_diameter=14; wall_thickness=130; mass_kg=0.170; material=20; thread_size=14; length_mm=130; material_grade=20; thread_size=14; length_mm=130,,,,
10494-ШП-16-60-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х60 Ст20 ГОСТ 10494-80,16,,16,60,,,,,,0.113,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,60,,,,,,20,,,,False,10494-ШП-16-60-20,16,60,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 60 мм. Марка стали 20. Масса 0.113 кг.,dn=16; outer_diameter=16; wall_thickness=60; mass_kg=0.113; material=20; thread_size=16; length_mm=60; material_grade=20; thread_size=16; length_mm=60,,,,
10494-ШП-16-65-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х65 Ст20 ГОСТ 10494-80,16,,16,65,,,,,,0.121,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,65,,,,,,20,,,,False,10494-ШП-16-65-20,16,65,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 65 мм. Марка стали 20. Масса 0.121 кг.,dn=16; outer_diameter=16; wall_thickness=65; mass_kg=0.121; material=20; thread_size=16; length_mm=65; material_grade=20; thread_size=16; length_mm=65,,,,
10494-ШП-16-70-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х70 Ст20 ГОСТ 10494-80,16,,16,70,,,,,,0.129,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,70,,,,,,20,,,,False,10494-ШП-16-70-20,16,70,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 70 мм. Марка стали 20. Масса 0.129 кг.,dn=16; outer_diameter=16; wall_thickness=70; mass_kg=0.129; material=20; thread_size=16; length_mm=70; material_grade=20; thread_size=16; length_mm=70,,,,
10494-ШП-16-75-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х75 Ст20 ГОСТ 10494-80,16,,16,75,,,,,,0.137,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,75,,,,,,20,,,,False,10494-ШП-16-75-20,16,75,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 75 мм. Марка стали 20. Масса 0.137 кг.,dn=16; outer_diameter=16; wall_thickness=75; mass_kg=0.137; material=20; thread_size=16; length_mm=75; material_grade=20; thread_size=16; length_mm=75,,,,
10494-ШП-16-80-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х80 Ст20 ГОСТ 10494-80,16,,16,80,,,,,,0.145,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,80,,,,,,20,,,,False,10494-ШП-16-80-20,16,80,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 80 мм. Марка стали 20. Масса 0.145 кг.,dn=16; outer_diameter=16; wall_thickness=80; mass_kg=0.145; material=20; thread_size=16; length_mm=80; material_grade=20; thread_size=16; length_mm=80,,,,
10494-ШП-16-85-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х85 Ст20 ГОСТ 10494-80,16,,16,85,,,,,,0.153,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,85,,,,,,20,,,,False,10494-ШП-16-85-20,16,85,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 85 мм. Марка стали 20. Масса 0.153 кг.,dn=16; outer_diameter=16; wall_thickness=85; mass_kg=0.153; material=20; thread_size=16; length_mm=85; material_grade=20; thread_size=16; length_mm=85,,,,
10494-ШП-16-90-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х90 Ст20 ГОСТ 10494-80,16,,16,90,,,,,,0.161,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,90,,,,,,20,,,,False,10494-ШП-16-90-20,16,90,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 90 мм. Марка стали 20. Масса 0.161 кг.,dn=16; outer_diameter=16; wall_thickness=90; mass_kg=0.161; material=20; thread_size=16; length_mm=90; material_grade=20; thread_size=16; length_mm=90,,,,
10494-ШП-16-95-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х95 Ст20 ГОСТ 10494-80,16,,16,95,,,,,,0.169,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,95,,,,,,20,,,,False,10494-ШП-16-95-20,16,95,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 95 мм. Марка стали 20. Масса 0.169 кг.,dn=16; outer_diameter=16; wall_thickness=95; mass_kg=0.169; material=20; thread_size=16; length_mm=95; material_grade=20; thread_size=16; length_mm=95,,,,
10494-ШП-16-100-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х100 Ст20 ГОСТ 10494-80,16,,16,100,,,,,,0.177,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,100,,,,,,20,,,,False,10494-ШП-16-100-20,16,100,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 100 мм. Марка стали 20. Масса 0.177 кг.,dn=16; outer_diameter=16; wall_thickness=100; mass_kg=0.177; material=20; thread_size=16; length_mm=100; material_grade=20; thread_size=16; length_mm=100,,,,
10494-ШП-16-105-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х105 Ст20 ГОСТ 10494-80,16,,16,105,,,,,,0.192,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,105,,,,,,20,,,,False,10494-ШП-16-105-20,16,105,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 105 мм. Марка стали 20. Масса 0.192 кг.,dn=16; outer_diameter=16; wall_thickness=105; mass_kg=0.192; material=20; thread_size=16; length_mm=105; material_grade=20; thread_size=16; length_mm=105,,,,
10494-ШП-16-110-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х110 Ст20 ГОСТ 10494-80,16,,16,110,,,,,,0.208,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,110,,,,,,20,,,,False,10494-ШП-16-110-20,16,110,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 110 мм. Марка стали 20. Масса 0.208 кг.,dn=16; outer_diameter=16; wall_thickness=110; mass_kg=0.208; material=20; thread_size=16; length_mm=110; material_grade=20; thread_size=16; length_mm=110,,,,
10494-ШП-16-115-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х115 Ст20 ГОСТ 10494-80,16,,16,115,,,,,,0.224,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,115,,,,,,20,,,,False,10494-ШП-16-115-20,16,115,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 115 мм. Марка стали 20. Масса 0.224 кг.,dn=16; outer_diameter=16; wall_thickness=115; mass_kg=0.224; material=20; thread_size=16; length_mm=115; material_grade=20; thread_size=16; length_mm=115,,,,
10494-ШП-16-120-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х120 Ст20 ГОСТ 10494-80,16,,16,120,,,,,,0.240,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,120,,,,,,20,,,,False,10494-ШП-16-120-20,16,120,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 120 мм. Марка стали 20. Масса 0.240 кг.,dn=16; outer_diameter=16; wall_thickness=120; mass_kg=0.240; material=20; thread_size=16; length_mm=120; material_grade=20; thread_size=16; length_mm=120,,,,
10494-ШП-16-130-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х130 Ст20 ГОСТ 10494-80,16,,16,130,,,,,,0.256,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,130,,,,,,20,,,,False,10494-ШП-16-130-20,16,130,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 130 мм. Марка стали 20. Масса 0.256 кг.,dn=16; outer_diameter=16; wall_thickness=130; mass_kg=0.256; material=20; thread_size=16; length_mm=130; material_grade=20; thread_size=16; length_mm=130,,,,
10494-ШП-16-140-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M16х140 Ст20 ГОСТ 10494-80,16,,16,140,,,,,,0.272,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,16,140,,,,,,20,,,,False,10494-ШП-16-140-20,16,140,Крепёж по ГОСТ 10494-1980. Резьба M16. Длина 140 мм. Марка стали 20. Масса 0.272 кг.,dn=16; outer_diameter=16; wall_thickness=140; mass_kg=0.272; material=20; thread_size=16; length_mm=140; material_grade=20; thread_size=16; length_mm=140,,,,
10494-ШП-20-60-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х60 Ст20 ГОСТ 10494-80,20,,20,60,,,,,,0.244,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,60,,,,,,20,,,,False,10494-ШП-20-60-20,20,60,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 60 мм. Марка стали 20. Масса 0.244 кг.,dn=20; outer_diameter=20; wall_thickness=60; mass_kg=0.244; material=20; thread_size=20; length_mm=60; material_grade=20; thread_size=20; length_mm=60,,,,
10494-ШП-20-65-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х65 Ст20 ГОСТ 10494-80,20,,20,65,,,,,,0.256,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,65,,,,,,20,,,,False,10494-ШП-20-65-20,20,65,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 65 мм. Марка стали 20. Масса 0.256 кг.,dn=20; outer_diameter=20; wall_thickness=65; mass_kg=0.256; material=20; thread_size=20; length_mm=65; material_grade=20; thread_size=20; length_mm=65,,,,
10494-ШП-20-70-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х70 Ст20 ГОСТ 10494-80,20,,20,70,,,,,,0.268,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,70,,,,,,20,,,,False,10494-ШП-20-70-20,20,70,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 70 мм. Марка стали 20. Масса 0.268 кг.,dn=20; outer_diameter=20; wall_thickness=70; mass_kg=0.268; material=20; thread_size=20; length_mm=70; material_grade=20; thread_size=20; length_mm=70,,,,
10494-ШП-20-75-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х75 Ст20 ГОСТ 10494-80,20,,20,75,,,,,,0.293,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,75,,,,,,20,,,,False,10494-ШП-20-75-20,20,75,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 75 мм. Марка стали 20. Масса 0.293 кг.,dn=20; outer_diameter=20; wall_thickness=75; mass_kg=0.293; material=20; thread_size=20; length_mm=75; material_grade=20; thread_size=20; length_mm=75,,,,
10494-ШП-20-80-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х80 Ст20 ГОСТ 10494-80,20,,20,80,,,,,,0.313,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,80,,,,,,20,,,,False,10494-ШП-20-80-20,20,80,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 80 мм. Марка стали 20. Масса 0.313 кг.,dn=20; outer_diameter=20; wall_thickness=80; mass_kg=0.313; material=20; thread_size=20; length_mm=80; material_grade=20; thread_size=20; length_mm=80,,,,
10494-ШП-20-85-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х85 Ст20 ГОСТ 10494-80,20,,20,85,,,,,,0.342,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,85,,,,,,20,,,,False,10494-ШП-20-85-20,20,85,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 85 мм. Марка стали 20. Масса 0.342 кг.,dn=20; outer_diameter=20; wall_thickness=85; mass_kg=0.342; material=20; thread_size=20; length_mm=85; material_grade=20; thread_size=20; length_mm=85,,,,
10494-ШП-20-90-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х90 Ст20 ГОСТ 10494-80,20,,20,90,,,,,,0.367,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,90,,,,,,20,,,,False,10494-ШП-20-90-20,20,90,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 90 мм. Марка стали 20. Масса 0.367 кг.,dn=20; outer_diameter=20; wall_thickness=90; mass_kg=0.367; material=20; thread_size=20; length_mm=90; material_grade=20; thread_size=20; length_mm=90,,,,
10494-ШП-20-95-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х95 Ст20 ГОСТ 10494-80,20,,20,95,,,,,,0.392,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,95,,,,,,20,,,,False,10494-ШП-20-95-20,20,95,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 95 мм. Марка стали 20. Масса 0.392 кг.,dn=20; outer_diameter=20; wall_thickness=95; mass_kg=0.392; material=20; thread_size=20; length_mm=95; material_grade=20; thread_size=20; length_mm=95,,,,
10494-ШП-20-100-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х100 Ст20 ГОСТ 10494-80,20,,20,100,,,,,,0.417,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,100,,,,,,20,,,,False,10494-ШП-20-100-20,20,100,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 100 мм. Марка стали 20. Масса 0.417 кг.,dn=20; outer_diameter=20; wall_thickness=100; mass_kg=0.417; material=20; thread_size=20; length_mm=100; material_grade=20; thread_size=20; length_mm=100,,,,
10494-ШП-20-105-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M20х105 Ст20 ГОСТ 10494-80,20,,20,105,,,,,,0.441,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,20,105,,,,,,20,,,,False,10494-ШП-20-105-20,20,105,Крепёж по ГОСТ 10494-1980. Резьба M20. Длина 105 мм. Марка стали 20. Масса 0.441 кг.,dn=20; outer_diameter=20; wall_thickness=105; mass_kg=0.441; material=20; thread_size=20; length_mm=105; material_grade=20; thread_size=20; length_mm=105,,,,
10494-ШП-22-60-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M22х60 Ст20 ГОСТ 10494-80,22,,22,60,,,,,,0.329,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,22,60,,,,,,20,,,,False,10494-ШП-22-60-20,22,60,Крепёж по ГОСТ 10494-1980. Резьба M22. Длина 60 мм. Марка стали 20. Масса 0.329 кг.,dn=22; outer_diameter=22; wall_thickness=60; mass_kg=0.329; material=20; thread_size=22; length_mm=60; material_grade=20; thread_size=22; length_mm=60,,,,
10494-ШП-22-65-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M22х65 Ст20 ГОСТ 10494-80,22,,22,65,,,,,,0.358,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,22,65,,,,,,20,,,,False,10494-ШП-22-65-20,22,65,Крепёж по ГОСТ 10494-1980. Резьба M22. Длина 65 мм. Марка стали 20. Масса 0.358 кг.,dn=22; outer_diameter=22; wall_thickness=65; mass_kg=0.358; material=20; thread_size=22; length_mm=65; material_grade=20; thread_size=22; length_mm=65,,,,
10494-ШП-22-70-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M22х70 Ст20 ГОСТ 10494-80,22,,22,70,,,,,,0.388,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,22,70,,,,,,20,,,,False,10494-ШП-22-70-20,22,70,Крепёж по ГОСТ 10494-1980. Резьба M22. Длина 70 мм. Марка стали 20. Масса 0.388 кг.,dn=22; outer_diameter=22; wall_thickness=70; mass_kg=0.388; material=20; thread_size=22; length_mm=70; material_grade=20; thread_size=22; length_mm=70,,,,
10494-ШП-22-75-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M22х75 Ст20 ГОСТ 10494-80,22,,22,75,,,,,,0.418,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,22,75,,,,,,20,,,,False,10494-ШП-22-75-20,22,75,Крепёж по ГОСТ 10494-1980. Резьба M22. Длина 75 мм. Марка стали 20. Масса 0.418 кг.,dn=22; outer_diameter=22; wall_thickness=75; mass_kg=0.418; material=20; thread_size=22; length_mm=75; material_grade=20; thread_size=22; length_mm=75,,,,
10494-ШП-22-80-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M22х80 Ст20 ГОСТ 10494-80,22,,22,80,,,,,,0.448,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,22,80,,,,,,20,,,,False,10494-ШП-22-80-20,22,80,Крепёж по ГОСТ 10494-1980. Резьба M22. Длина 80 мм. Марка стали 20. Масса 0.448 кг.,dn=22; outer_diameter=22; wall_thickness=80; mass_kg=0.448; material=20; thread_size=22; length_mm=80; material_grade=20; thread_size=22; length_mm=80,,,,
10494-ШП-22-85-20,ГОСТ 10494-1980,ГОСТ 10494-1980,крепеж,Шпилька,ШП,Шпилька M22х85 Ст20 ГОСТ 10494-80,22,,22,85,,,,,,0.478,20,6,pdf/крепеж/ГОСТ_10494_1980.pdf,22,85,,,,,,20,,,,False,10494-ШП-22-85-20,22,85,Крепёж по ГОСТ 10494-1980. Резьба M22. Длина 85 мм. Марка стали 20. Масса 0.478 кг.,dn=22; outer_diameter=22; wall_thickness=85; mass_kg=0.478; material=20; thread_size=22; length_mm=85; material_grade=20; thread_size=22; length_mm=85,,,,
