sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,description,attributes,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,dim_execution,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_temperature,dim_technology,dim_seam_type,dim_purpose,dim_shell,dim_source_subcategory,dim_gost_designation,dim_mass_method
zadvizhka-klin-dn800-pn40,ГОСТ 33257-2015,Задвижка клиновая DN800 PN4.0 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN800 PN4.0 МПа,800,,,,,,4.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
zadvizhka-klin-dn1000-pn63,ГОСТ 33257-2015,Задвижка клиновая DN1000 PN6.3 ГОСТ 33257-2015,арматура,Арматура,ЗД,Задвижка клиновая стальная DN1000 PN6.3 МПа,1000,,,,,,6.3,,,,Ст20,,,,,,,,,,Ст20,,,,,,Задвижка клиновая стальная с невыдвижным шпинделем. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn15-pn16,ГОСТ 33257-2015,Клапан обратный подъёмный DN15 PN1.6,арматура,Арматура,КО,Клапан обратный подъёмный DN15 PN1.6 МПа,15,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn25-pn16,ГОСТ 33257-2015,Клапан обратный подъёмный DN25 PN1.6,арматура,Арматура,КО,Клапан обратный подъёмный DN25 PN1.6 МПа,25,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn32-pn16,ГОСТ 33257-2015,Клапан обратный подъёмный DN32 PN1.6,арматура,Арматура,КО,Клапан обратный подъёмный DN32 PN1.6 МПа,32,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn40-pn16,ГОСТ 33257-2015,Клапан обратный подъёмный DN40 PN1.6,арматура,Арматура,КО,Клапан обратный подъёмный DN40 PN1.6 МПа,40,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn50-pn16,ГОСТ 33257-2015,Клапан обратный подъёмный DN50 PN1.6,арматура,Арматура,КО,Клапан обратный подъёмный DN50 PN1.6 МПа,50,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn80-pn25,ГОСТ 33257-2015,Клапан обратный подъёмный DN80 PN2.5,арматура,Арматура,КО,Клапан обратный подъёмный DN80 PN2.5 МПа,80,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn100-pn25,ГОСТ 33257-2015,Клапан обратный подъёмный DN100 PN2.5,арматура,Арматура,КО,Клапан обратный подъёмный DN100 PN2.5 МПа,100,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn150-pn25,ГОСТ 33257-2015,Клапан обратный подъёмный DN150 PN2.5,арматура,Арматура,КО,Клапан обратный подъёмный DN150 PN2.5 МПа,150,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
klapan-obrat-dn200-pn40,ГОСТ 33257-2015,Клапан обратный подъёмный DN200 PN4.0,арматура,Арматура,КО,Клапан обратный подъёмный DN200 PN4.0 МПа,200,,,,,,4.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Клапан обратный подъёмный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn15-pn16,ГОСТ 33257-2015,Кран шаровой полнопроходный DN15 PN1.6,арматура,Арматура,КР,Кран шаровой полнопроходный DN15 PN1.6 МПа,15,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn25-pn16,ГОСТ 33257-2015,Кран шаровой полнопроходный DN25 PN1.6,арматура,Арматура,КР,Кран шаровой полнопроходный DN25 PN1.6 МПа,25,,,,,,1.6,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn32-pn25,ГОСТ 33257-2015,Кран шаровой полнопроходный DN32 PN2.5,арматура,Арматура,КР,Кран шаровой полнопроходный DN32 PN2.5 МПа,32,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn40-pn25,ГОСТ 33257-2015,Кран шаровой полнопроходный DN40 PN2.5,арматура,Арматура,КР,Кран шаровой полнопроходный DN40 PN2.5 МПа,40,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn50-pn25,ГОСТ 33257-2015,Кран шаровой полнопроходный DN50 PN2.5,арматура,Арматура,КР,Кран шаровой полнопроходный DN50 PN2.5 МПа,50,,,,,,2.5,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn80-pn40,ГОСТ 33257-2015,Кран шаровой полнопроходный DN80 PN4.0,арматура,Арматура,КР,Кран шаровой полнопроходный DN80 PN4.0 МПа,80,,,,,,4.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn100-pn40,ГОСТ 33257-2015,Кран шаровой полнопроходный DN100 PN4.0,арматура,Арматура,КР,Кран шаровой полнопроходный DN100 PN4.0 МПа,100,,,,,,4.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn150-pn40,ГОСТ 33257-2015,Кран шаровой полнопроходный DN150 PN4.0,арматура,Арматура,КР,Кран шаровой полнопроходный DN150 PN4.0 МПа,150,,,,,,4.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn200-pn63,ГОСТ 33257-2015,Кран шаровой полнопроходный DN200 PN6.3,арматура,Арматура,КР,Кран шаровой полнопроходный DN200 PN6.3 МПа,200,,,,,,6.3,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn300-pn63,ГОСТ 33257-2015,Кран шаровой полнопроходный DN300 PN6.3,арматура,Арматура,КР,Кран шаровой полнопроходный DN300 PN6.3 МПа,300,,,,,,6.3,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn400-pn100,ГОСТ 33257-2015,Кран шаровой полнопроходный DN400 PN10.0,арматура,Арматура,КР,Кран шаровой полнопроходный DN400 PN10.0 МПа,400,,,,,,10.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
kran-shar-dn500-pn100,ГОСТ 33257-2015,Кран шаровой полнопроходный DN500 PN10.0,арматура,Арматура,КР,Кран шаровой полнопроходный DN500 PN10.0 МПа,500,,,,,,10.0,,,,Ст20,,,,,,,,,,Ст20,,,,,,Кран шаровой полнопроходный стальной. Поставка под заказ.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
