sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,description,attributes,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,dim_execution,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_temperature,dim_technology,dim_seam_type,dim_purpose,dim_shell,dim_source_subcategory,dim_gost_designation,dim_mass_method
ost-36-17-np-dn800,ОСТ 36-17-85,Опора неподвижная хомутовая DN800 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN800 ОСТ 36-17-85,800,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-np-dn1000,ОСТ 36-17-85,Опора неподвижная хомутовая DN1000 ОСТ 36-17-85,опоры,Опоры трубопроводов,НП,Опора неподвижная хомутовая DN1000 ОСТ 36-17-85,1000,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,нет,,Неподвижная хомутовая опора для фиксации трубопровода. Поставка под заказ с паспортом.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn50,ОСТ 36-17-85,Опора скользящая DN50 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN50 ОСТ 36-17-85,50,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn80,ОСТ 36-17-85,Опора скользящая DN80 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN80 ОСТ 36-17-85,80,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn100,ОСТ 36-17-85,Опора скользящая DN100 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN100 ОСТ 36-17-85,100,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn150,ОСТ 36-17-85,Опора скользящая DN150 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN150 ОСТ 36-17-85,150,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn200,ОСТ 36-17-85,Опора скользящая DN200 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN200 ОСТ 36-17-85,200,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn250,ОСТ 36-17-85,Опора скользящая DN250 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN250 ОСТ 36-17-85,250,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn300,ОСТ 36-17-85,Опора скользящая DN300 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN300 ОСТ 36-17-85,300,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn400,ОСТ 36-17-85,Опора скользящая DN400 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN400 ОСТ 36-17-85,400,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn500,ОСТ 36-17-85,Опора скользящая DN500 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN500 ОСТ 36-17-85,500,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn600,ОСТ 36-17-85,Опора скользящая DN600 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN600 ОСТ 36-17-85,600,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-sk-dn800,ОСТ 36-17-85,Опора скользящая DN800 ОСТ 36-17-85,опоры,Опоры трубопроводов,СК,Опора скользящая DN800 ОСТ 36-17-85,800,,,,,,,,,,Ст3сп,,,,,,,,,,Ст3сп,,,,,,Скользящая опора с антифрикционным слоем для компенсации температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn50,ОСТ 36-17-85,Опора пружинная DN50 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN50 ОСТ 36-17-85,50,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn80,ОСТ 36-17-85,Опора пружинная DN80 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN80 ОСТ 36-17-85,80,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn100,ОСТ 36-17-85,Опора пружинная DN100 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN100 ОСТ 36-17-85,100,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn150,ОСТ 36-17-85,Опора пружинная DN150 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN150 ОСТ 36-17-85,150,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn200,ОСТ 36-17-85,Опора пружинная DN200 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN200 ОСТ 36-17-85,200,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn250,ОСТ 36-17-85,Опора пружинная DN250 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN250 ОСТ 36-17-85,250,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn300,ОСТ 36-17-85,Опора пружинная DN300 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN300 ОСТ 36-17-85,300,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn400,ОСТ 36-17-85,Опора пружинная DN400 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN400 ОСТ 36-17-85,400,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
ost-36-17-pr-dn500,ОСТ 36-17-85,Опора пружинная DN500 ОСТ 36-17-85,опоры,Опоры трубопроводов,ПР,Опора пружинная DN500 ОСТ 36-17-85,500,,,,,,,,,,Ст20,,,,,,,,,,Ст20,,,,,,Пружинная опора / подвеска для вертикальных нагрузок и температурных перемещений.,,simple,,,,,onbackorder,,,,,,,,,,,,,,,
