sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,pn,angle,radius,mass_kg,material,standard_page,pdf_path,description,attributes,dim_dim_0,dim_dim_1,dim_dim_2,dim_dim_7,dim_dim_8,dim_dim_9,dim_dim_10,dim_dim_5,dim_dim_13,dim_dim_14,dim_dim_15,dim_dim_16,dim_dim_17,dim_dim_18,dim_dim_т,dim_dim_в,dim_dim_3,dim_dim_w,dim_dim_н,dim_dim_с
гост-15150-ар-5ссылочныенормативно-техническиедокументы-none-none-none-2,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 5.ССЫЛОЧНЫЕНОРМАТИВНО-ТЕХНИЧЕСКИЕДОКУМЕНТЫ (ГОСТ 15150),5.ССЫЛОЧНЫЕНОРМАТИВНО-ТЕХНИЧЕСКИЕДОКУМЕНТЫ,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 5.ССЫЛОЧНЫЕНОРМАТИВНО-ТЕХНИЧЕСКИЕДОКУМЕНТЫ.,dn=5.ССЫЛОЧНЫЕНОРМАТИВНО-ТЕХНИЧЕСКИЕДОКУМЕНТЫ,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-обозначениентднакоторыйданассылка-none-none-none-2,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN ОбозначениеНТД,накоторыйданассылка (ГОСТ 15150)","ОбозначениеНТД,накоторыйданассылка",,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN ОбозначениеНТД,накоторыйданассылка.","dn=ОбозначениеНТД,накоторыйданассылка",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-гост9303-84гост4401-81гост155431-89гост16350-80гост24482-80гост258,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN ГОСТ9.303-84ГОСТ4401-81ГОСТ15543.1-89ГОСТ16350-80ГОСТ24482-80ГОСТ25870-83ГОСТ31119-2002 (ГОСТ 15150),ГОСТ9.303-84ГОСТ4401-81ГОСТ15543.1-89ГОСТ16350-80ГОСТ24482-80ГОСТ25870-83ГОСТ31119-2002,,,,,,,,,2,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN ГОСТ9.303-84ГОСТ4401-81ГОСТ15543.1-89ГОСТ16350-80ГОСТ24482-80ГОСТ25870-83ГОСТ31119-2002.,dn=ГОСТ9.303-84ГОСТ4401-81ГОСТ15543.1-89ГОСТ16350-80ГОСТ24482-80ГОСТ25870-83ГОСТ31119-2002,,,,,,,,,,,,,,,,,,,,
гост-15150-1-у41-ом-10,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 1 (ГОСТ 15150),1,,У4,У4.1,,,,ОМ,,10,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 1.,dn=1; outer_diameter=У4; wall_thickness=У4.1; mass_kg=ОМ,,,,,,,,,,,,,,,,,,,,
гост-15150-1-хл41-5-10,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 1 (ГОСТ 15150),1,,У4,ХЛ4.1,,,,5,,10,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 1.,dn=1; outer_diameter=У4; wall_thickness=ХЛ4.1; mass_kg=5,,,,,,,,,,,,,,,,,,,,
гост-15150-1-ту41-ом-10,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 1 (ГОСТ 15150),1,,У4,ТУ4.1,,,,ОМ,,10,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 1.,dn=1; outer_diameter=У4; wall_thickness=ТУ4.1; mass_kg=ОМ,,,,,,,,,,,,,,,,,,,,
гост-15150-2-ухл4-в5-10,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 2 (ГОСТ 15150),2,,УХЛ,УХЛ4.,,,,В5,,10,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 2.,dn=2; outer_diameter=УХЛ; wall_thickness=УХЛ4.; mass_kg=В5,,,,,,,,,,,,,,,,,,,,
гост-15150-2-1-в5-10,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 2 (ГОСТ 15150),2,,УХЛ,1,,,,В5,,10,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 2.,dn=2; outer_diameter=УХЛ; wall_thickness=1; mass_kg=В5,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-дляисполненийуухлхлттсов-40с-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN дляисполненийУ,УХЛ(ХЛ),Т,ТС,О,В-40°С; (ГОСТ 15150)","дляисполненийУ,УХЛ(ХЛ),Т,ТС,О,В-40°С;",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN дляисполненийУ,УХЛ(ХЛ),Т,ТС,О,В-40°С;.","dn=дляисполненийУ,УХЛ(ХЛ),Т,ТС,О,В-40°С;",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-дляисполненийтвтм-10с-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN дляисполненийТВ,ТМ-10°С; (ГОСТ 15150)","дляисполненийТВ,ТМ-10°С;",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN дляисполненийТВ,ТМ-10°С;.","dn=дляисполненийТВ,ТМ-10°С;",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-дляисполненийтумом-30с-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN дляисполненийТУ,М,ОМ-30°С. (ГОСТ 15150)","дляисполненийТУ,М,ОМ-30°С.",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN дляисполненийТУ,М,ОМ-30°С..","dn=дляисполненийТУ,М,ОМ-30°С.",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-3435измененнаяредакцияизмn3-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN 3.4,3.5.(Измененнаяредакция,Изм.N3). (ГОСТ 15150)","3.4,3.5.(Измененнаяредакция,Изм.N3).",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN 3.4,3.5.(Измененнаяредакция,Изм.N3)..","dn=3.4,3.5.(Измененнаяредакция,Изм.N3).",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-36рабочиезначениявлажностивоздухасочетанияотносительнойвлажностии-,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 3.6.Рабочиезначениявлажностивоздуха(сочетанияотносительнойвлажностии (ГОСТ 15150),3.6.Рабочиезначениявлажностивоздуха(сочетанияотносительнойвлажностии,,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 3.6.Рабочиезначениявлажностивоздуха(сочетанияотносительнойвлажностии.,dn=3.6.Рабочиезначениявлажностивоздуха(сочетанияотносительнойвлажностии,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-температурыприведенывтабл6-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN температуры)приведенывтабл.6. (ГОСТ 15150),температуры)приведенывтабл.6.,,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN температуры)приведенывтабл.6..,dn=температуры)приведенывтабл.6.,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-таблица6-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN Таблица6 (ГОСТ 15150),Таблица6,,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN Таблица6.,dn=Таблица6,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-исполнениеизделия-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN Исполнениеизделия (ГОСТ 15150),Исполнениеизделия,,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN Исполнениеизделия.,dn=Исполнениеизделия,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-ухл-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN УХЛ (ГОСТ 15150),УХЛ,,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN УХЛ.,dn=УХЛ,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-уухлхлту-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN У,УХЛ(ХЛ*),ТУ (ГОСТ 15150)","У,УХЛ(ХЛ*),ТУ",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN У,УХЛ(ХЛ*),ТУ.","dn=У,УХЛ(ХЛ*),ТУ",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-тс-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN ТС (ГОСТ 15150),ТС,,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN ТС.,dn=ТС,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-твтовтмом-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN ТВ,Т,О,В,ТМ*,ОМ** (ГОСТ 15150)","ТВ,Т,О,В,ТМ*,ОМ**",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN ТВ,Т,О,В,ТМ*,ОМ**.","dn=ТВ,Т,О,В,ТМ*,ОМ**",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-твтвтмом-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN ТВ,Т,ВТМ,ОМ** (ГОСТ 15150)","ТВ,Т,ВТМ,ОМ**",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN ТВ,Т,ВТМ,ОМ**.","dn=ТВ,Т,ВТМ,ОМ**",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-твовтмом-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN ТВ,О,В,ТМ,ОМ** (ГОСТ 15150)","ТВ,О,В,ТМ,ОМ**",,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN ТВ,О,В,ТМ,ОМ**.","dn=ТВ,О,В,ТМ,ОМ**",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-м-none-none-none-15,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN М (ГОСТ 15150),М,,,,,,,,,15,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN М.,dn=М,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-едляжелезнодорожногоподвижногосоставаисполненияунижнеерабочееипред,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN е)дляжелезнодорожногоподвижногосоставаисполненияУнижнеерабочееипредельное (ГОСТ 15150),е)дляжелезнодорожногоподвижногосоставаисполненияУнижнеерабочееипредельное,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN е)дляжелезнодорожногоподвижногосоставаисполненияУнижнеерабочееипредельное.,dn=е)дляжелезнодорожногоподвижногосоставаисполненияУнижнеерабочееипредельное,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-значениятемпературыприниматьравнымиминус50с-none-none-none-26,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN значениятемпературыприниматьравнымиминус50°С; (ГОСТ 15150),значениятемпературыприниматьравнымиминус50°С;,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN значениятемпературыприниматьравнымиминус50°С;.,dn=значениятемпературыприниматьравнымиминус50°С;,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-ждляизделийкатегории4охлаждаемыхпутемзаборанаружноговоздухазначени,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN ж)дляизделийкатегории4,охлаждаемыхпутемзаборанаружноговоздуха,значения (ГОСТ 15150)","ж)дляизделийкатегории4,охлаждаемыхпутемзаборанаружноговоздуха,значения",,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN ж)дляизделийкатегории4,охлаждаемыхпутемзаборанаружноговоздуха,значения.","dn=ж)дляизделийкатегории4,охлаждаемыхпутемзаборанаружноговоздуха,значения",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-температурывоздухаприниматьтакимижекакидлякатегории2-none-none-non,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN температурывоздухаприниматьтакимиже,какидлякатегории2. (ГОСТ 15150)","температурывоздухаприниматьтакимиже,какидлякатегории2.",,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN температурывоздухаприниматьтакимиже,какидлякатегории2..","dn=температурывоздухаприниматьтакимиже,какидлякатегории2.",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-идляизделийкатегорий12присоединяемыхнепосредственнокповерхностям-n,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN и)Дляизделийкатегорий1;2,присоединяемыхнепосредственнокповерхностям, (ГОСТ 15150)","и)Дляизделийкатегорий1;2,присоединяемыхнепосредственнокповерхностям,",,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN и)Дляизделийкатегорий1;2,присоединяемыхнепосредственнокповерхностям,.","dn=и)Дляизделийкатегорий1;2,присоединяемыхнепосредственнокповерхностям,",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-которыемогутбытьподвергнутынагревусолнечнымилучамипринимаютверхнее,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN которыемогутбытьподвергнутынагревусолнечнымилучами,принимаютверхнее (ГОСТ 15150)","которыемогутбытьподвергнутынагревусолнечнымилучами,принимаютверхнее",,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN которыемогутбытьподвергнутынагревусолнечнымилучами,принимаютверхнее.","dn=которыемогутбытьподвергнутынагревусолнечнымилучами,принимаютверхнее",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-предельноезначениетемпературытакимжекакзначениетемпературыповерхно,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN предельноезначениетемпературытакимже,какзначениетемпературыповерхности (ГОСТ 15150)","предельноезначениетемпературытакимже,какзначениетемпературыповерхности",,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN предельноезначениетемпературытакимже,какзначениетемпературыповерхности.","dn=предельноезначениетемпературытакимже,какзначениетемпературыповерхности",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-согласноп52продолжительностьдействиятакойтемпературыпринимаютвтече,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN согласноп.5.2.Продолжительностьдействиятакойтемпературыпринимаютвтечение1-3ч (ГОСТ 15150),согласноп.5.2.Продолжительностьдействиятакойтемпературыпринимаютвтечение1-3ч,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN согласноп.5.2.Продолжительностьдействиятакойтемпературыпринимаютвтечение1-3ч.,dn=согласноп.5.2.Продолжительностьдействиятакойтемпературыпринимаютвтечение1-3ч,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-взависимостиотконструктивныхособенностейизделий-none-none-none-26,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN взависимостиотконструктивныхособенностейизделий. (ГОСТ 15150),взависимостиотконструктивныхособенностейизделий.,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN взависимостиотконструктивныхособенностейизделий..,dn=взависимостиотконструктивныхособенностейизделий.,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-измененнаяредакцияизмn235-none-none-none-26,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN (Измененнаяредакция,Изм.N2,3,5). (ГОСТ 15150)","(Измененнаяредакция,Изм.N2,3,5).",,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN (Измененнаяредакция,Изм.N2,3,5)..","dn=(Измененнаяредакция,Изм.N2,3,5).",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-55есливкачественоминальныхнеобходимовсоответствииспп52и511установи,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN 5.5.Есливкачественоминальныхнеобходимовсоответствииспп.5.2и5.11установить (ГОСТ 15150),5.5.Есливкачественоминальныхнеобходимовсоответствииспп.5.2и5.11установить,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN 5.5.Есливкачественоминальныхнеобходимовсоответствииспп.5.2и5.11установить.,dn=5.5.Есливкачественоминальныхнеобходимовсоответствииспп.5.2и5.11установить,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-отличныеотнормальныхзначениятемпературывнешнейсредырекомендуетсявы,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,"Арматура АР DN отличныеотнормальныхзначениятемпературывнешнейсреды,рекомендуетсявыбирать (ГОСТ 15150)","отличныеотнормальныхзначениятемпературывнешнейсреды,рекомендуетсявыбирать",,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,"Изделие по ГОСТ 15150. Тип: АР. DN отличныеотнормальныхзначениятемпературывнешнейсреды,рекомендуетсявыбирать.","dn=отличныеотнормальныхзначениятемпературывнешнейсреды,рекомендуетсявыбирать",,,,,,,,,,,,,,,,,,,,
гост-15150-ар-следующиезначениятемпературы-none-none-none-26,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN следующиезначениятемпературы: (ГОСТ 15150),следующиезначениятемпературы:,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN следующиезначениятемпературы:.,dn=следующиезначениятемпературы:,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-положительныезначения110203040455055607085100125-none-none-none-26,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN положительныезначения:+1;+10;+20;+30;+40;+45;+50;+55;+60;+70;+85;+100;+125; (ГОСТ 15150),положительныезначения:+1;+10;+20;+30;+40;+45;+50;+55;+60;+70;+85;+100;+125;,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN положительныезначения:+1;+10;+20;+30;+40;+45;+50;+55;+60;+70;+85;+100;+125;.,dn=положительныезначения:+1;+10;+20;+30;+40;+45;+50;+55;+60;+70;+85;+100;+125;,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-155200250315400500с-none-none-none-26,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN +155;+200;+250;+315;+400;+500°С; (ГОСТ 15150),+155;+200;+250;+315;+400;+500°С;,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN +155;+200;+250;+315;+400;+500°С;.,dn=+155;+200;+250;+315;+400;+500°С;,,,,,,,,,,,,,,,,,,,,
гост-15150-ар-отрицательныезначения-196-150-120-100-85-60-45-30-25-10-5с-none-no,ГОСТ 15150,ГОСТ 15150,арматура,Арматура,АР,Арматура АР DN отрицательныезначения:-196;-150;-120;-100;-85;-60;-45;-30;-25;-10;-5°С. (ГОСТ 15150),отрицательныезначения:-196;-150;-120;-100;-85;-60;-45;-30;-25;-10;-5°С.,,,,,,,,,26,pdf/отводы/ГОСТ_15150_1969.pdf,Изделие по ГОСТ 15150. Тип: АР. DN отрицательныезначения:-196;-150;-120;-100;-85;-60;-45;-30;-25;-10;-5°С..,dn=отрицательныезначения:-196;-150;-120;-100;-85;-60;-45;-30;-25;-10;-5°С.,,,,,,,,,,,,,,,,,,,,
