sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_thread_size,dim_length_mm,description,attributes,dim_strength_class,woo_type
11738-В-3-20-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×20 8.8 ГОСТ 11738-84,3,,,,,,,,,,,,,3,20,,8.8,A,,,,,,,False,11738-В-3-20-8.8,3,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 20 мм, класс прочности 8.8.",thread_size=3; length_mm=20; strength_class=8.8,8.8,simple
11738-В-3-20-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M3×20 10.9 ГОСТ 11738-84,3,,,,,,,,,,,,,3,20,,10.9,A,,,,,,,False,11738-В-3-20-10.9,3,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M3, длина 20 мм, класс прочности 10.9.",thread_size=3; length_mm=20; strength_class=10.9,10.9,simple
11738-В-4-8-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×8 8.8 ГОСТ 11738-84,4,,,,,,,,,,,,,4,8,,8.8,A,,,,,,,False,11738-В-4-8-8.8,4,8,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 8 мм, класс прочности 8.8.",thread_size=4; length_mm=8; strength_class=8.8,8.8,simple
11738-В-4-8-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×8 10.9 ГОСТ 11738-84,4,,,,,,,,,,,,,4,8,,10.9,A,,,,,,,False,11738-В-4-8-10.9,4,8,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 8 мм, класс прочности 10.9.",thread_size=4; length_mm=8; strength_class=10.9,10.9,simple
11738-В-4-10-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×10 8.8 ГОСТ 11738-84,4,,,,,,,,,,,,,4,10,,8.8,A,,,,,,,False,11738-В-4-10-8.8,4,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 10 мм, класс прочности 8.8.",thread_size=4; length_mm=10; strength_class=8.8,8.8,simple
11738-В-4-10-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×10 10.9 ГОСТ 11738-84,4,,,,,,,,,,,,,4,10,,10.9,A,,,,,,,False,11738-В-4-10-10.9,4,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 10 мм, класс прочности 10.9.",thread_size=4; length_mm=10; strength_class=10.9,10.9,simple
11738-В-4-12-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×12 8.8 ГОСТ 11738-84,4,,,,,,,,,,,,,4,12,,8.8,A,,,,,,,False,11738-В-4-12-8.8,4,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 12 мм, класс прочности 8.8.",thread_size=4; length_mm=12; strength_class=8.8,8.8,simple
11738-В-4-12-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×12 10.9 ГОСТ 11738-84,4,,,,,,,,,,,,,4,12,,10.9,A,,,,,,,False,11738-В-4-12-10.9,4,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 12 мм, класс прочности 10.9.",thread_size=4; length_mm=12; strength_class=10.9,10.9,simple
11738-В-4-16-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×16 8.8 ГОСТ 11738-84,4,,,,,,,,,,,,,4,16,,8.8,A,,,,,,,False,11738-В-4-16-8.8,4,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 16 мм, класс прочности 8.8.",thread_size=4; length_mm=16; strength_class=8.8,8.8,simple
11738-В-4-16-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×16 10.9 ГОСТ 11738-84,4,,,,,,,,,,,,,4,16,,10.9,A,,,,,,,False,11738-В-4-16-10.9,4,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 16 мм, класс прочности 10.9.",thread_size=4; length_mm=16; strength_class=10.9,10.9,simple
11738-В-4-20-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×20 8.8 ГОСТ 11738-84,4,,,,,,,,,,,,,4,20,,8.8,A,,,,,,,False,11738-В-4-20-8.8,4,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 20 мм, класс прочности 8.8.",thread_size=4; length_mm=20; strength_class=8.8,8.8,simple
11738-В-4-20-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×20 10.9 ГОСТ 11738-84,4,,,,,,,,,,,,,4,20,,10.9,A,,,,,,,False,11738-В-4-20-10.9,4,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 20 мм, класс прочности 10.9.",thread_size=4; length_mm=20; strength_class=10.9,10.9,simple
11738-В-4-25-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×25 8.8 ГОСТ 11738-84,4,,,,,,,,,,,,,4,25,,8.8,A,,,,,,,False,11738-В-4-25-8.8,4,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 25 мм, класс прочности 8.8.",thread_size=4; length_mm=25; strength_class=8.8,8.8,simple
11738-В-4-25-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M4×25 10.9 ГОСТ 11738-84,4,,,,,,,,,,,,,4,25,,10.9,A,,,,,,,False,11738-В-4-25-10.9,4,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M4, длина 25 мм, класс прочности 10.9.",thread_size=4; length_mm=25; strength_class=10.9,10.9,simple
11738-В-5-10-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×10 8.8 ГОСТ 11738-84,5,,,,,,,,,,,,,5,10,,8.8,A,,,,,,,False,11738-В-5-10-8.8,5,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 10 мм, класс прочности 8.8.",thread_size=5; length_mm=10; strength_class=8.8,8.8,simple
11738-В-5-10-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×10 10.9 ГОСТ 11738-84,5,,,,,,,,,,,,,5,10,,10.9,A,,,,,,,False,11738-В-5-10-10.9,5,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 10 мм, класс прочности 10.9.",thread_size=5; length_mm=10; strength_class=10.9,10.9,simple
11738-В-5-12-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×12 8.8 ГОСТ 11738-84,5,,,,,,,,,,,,,5,12,,8.8,A,,,,,,,False,11738-В-5-12-8.8,5,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 12 мм, класс прочности 8.8.",thread_size=5; length_mm=12; strength_class=8.8,8.8,simple
11738-В-5-12-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×12 10.9 ГОСТ 11738-84,5,,,,,,,,,,,,,5,12,,10.9,A,,,,,,,False,11738-В-5-12-10.9,5,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 12 мм, класс прочности 10.9.",thread_size=5; length_mm=12; strength_class=10.9,10.9,simple
11738-В-5-16-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×16 8.8 ГОСТ 11738-84,5,,,,,,,,,,,,,5,16,,8.8,A,,,,,,,False,11738-В-5-16-8.8,5,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 16 мм, класс прочности 8.8.",thread_size=5; length_mm=16; strength_class=8.8,8.8,simple
11738-В-5-16-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×16 10.9 ГОСТ 11738-84,5,,,,,,,,,,,,,5,16,,10.9,A,,,,,,,False,11738-В-5-16-10.9,5,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 16 мм, класс прочности 10.9.",thread_size=5; length_mm=16; strength_class=10.9,10.9,simple
11738-В-5-20-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×20 8.8 ГОСТ 11738-84,5,,,,,,,,,,,,,5,20,,8.8,A,,,,,,,False,11738-В-5-20-8.8,5,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 20 мм, класс прочности 8.8.",thread_size=5; length_mm=20; strength_class=8.8,8.8,simple
11738-В-5-20-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×20 10.9 ГОСТ 11738-84,5,,,,,,,,,,,,,5,20,,10.9,A,,,,,,,False,11738-В-5-20-10.9,5,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 20 мм, класс прочности 10.9.",thread_size=5; length_mm=20; strength_class=10.9,10.9,simple
11738-В-5-25-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×25 8.8 ГОСТ 11738-84,5,,,,,,,,,,,,,5,25,,8.8,A,,,,,,,False,11738-В-5-25-8.8,5,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 25 мм, класс прочности 8.8.",thread_size=5; length_mm=25; strength_class=8.8,8.8,simple
11738-В-5-25-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×25 10.9 ГОСТ 11738-84,5,,,,,,,,,,,,,5,25,,10.9,A,,,,,,,False,11738-В-5-25-10.9,5,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 25 мм, класс прочности 10.9.",thread_size=5; length_mm=25; strength_class=10.9,10.9,simple
11738-В-5-30-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×30 8.8 ГОСТ 11738-84,5,,,,,,,,,,,,,5,30,,8.8,A,,,,,,,False,11738-В-5-30-8.8,5,30,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 30 мм, класс прочности 8.8.",thread_size=5; length_mm=30; strength_class=8.8,8.8,simple
11738-В-5-30-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M5×30 10.9 ГОСТ 11738-84,5,,,,,,,,,,,,,5,30,,10.9,A,,,,,,,False,11738-В-5-30-10.9,5,30,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M5, длина 30 мм, класс прочности 10.9.",thread_size=5; length_mm=30; strength_class=10.9,10.9,simple
11738-В-6-10-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×10 8.8 ГОСТ 11738-84,6,,,,,,,,,,,,,6,10,,8.8,A,,,,,,,False,11738-В-6-10-8.8,6,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 10 мм, класс прочности 8.8.",thread_size=6; length_mm=10; strength_class=8.8,8.8,simple
11738-В-6-10-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×10 10.9 ГОСТ 11738-84,6,,,,,,,,,,,,,6,10,,10.9,A,,,,,,,False,11738-В-6-10-10.9,6,10,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 10 мм, класс прочности 10.9.",thread_size=6; length_mm=10; strength_class=10.9,10.9,simple
11738-В-6-12-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×12 8.8 ГОСТ 11738-84,6,,,,,,,,,,,,,6,12,,8.8,A,,,,,,,False,11738-В-6-12-8.8,6,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 12 мм, класс прочности 8.8.",thread_size=6; length_mm=12; strength_class=8.8,8.8,simple
11738-В-6-12-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×12 10.9 ГОСТ 11738-84,6,,,,,,,,,,,,,6,12,,10.9,A,,,,,,,False,11738-В-6-12-10.9,6,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 12 мм, класс прочности 10.9.",thread_size=6; length_mm=12; strength_class=10.9,10.9,simple
11738-В-6-16-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×16 8.8 ГОСТ 11738-84,6,,,,,,,,,,,,,6,16,,8.8,A,,,,,,,False,11738-В-6-16-8.8,6,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 16 мм, класс прочности 8.8.",thread_size=6; length_mm=16; strength_class=8.8,8.8,simple
11738-В-6-16-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×16 10.9 ГОСТ 11738-84,6,,,,,,,,,,,,,6,16,,10.9,A,,,,,,,False,11738-В-6-16-10.9,6,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 16 мм, класс прочности 10.9.",thread_size=6; length_mm=16; strength_class=10.9,10.9,simple
11738-В-6-20-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×20 8.8 ГОСТ 11738-84,6,,,,,,,,,,,,,6,20,,8.8,A,,,,,,,False,11738-В-6-20-8.8,6,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 20 мм, класс прочности 8.8.",thread_size=6; length_mm=20; strength_class=8.8,8.8,simple
11738-В-6-20-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×20 10.9 ГОСТ 11738-84,6,,,,,,,,,,,,,6,20,,10.9,A,,,,,,,False,11738-В-6-20-10.9,6,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 20 мм, класс прочности 10.9.",thread_size=6; length_mm=20; strength_class=10.9,10.9,simple
11738-В-6-25-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×25 8.8 ГОСТ 11738-84,6,,,,,,,,,,,,,6,25,,8.8,A,,,,,,,False,11738-В-6-25-8.8,6,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 25 мм, класс прочности 8.8.",thread_size=6; length_mm=25; strength_class=8.8,8.8,simple
11738-В-6-25-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×25 10.9 ГОСТ 11738-84,6,,,,,,,,,,,,,6,25,,10.9,A,,,,,,,False,11738-В-6-25-10.9,6,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 25 мм, класс прочности 10.9.",thread_size=6; length_mm=25; strength_class=10.9,10.9,simple
11738-В-6-30-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×30 8.8 ГОСТ 11738-84,6,,,,,,,,,,,,,6,30,,8.8,A,,,,,,,False,11738-В-6-30-8.8,6,30,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 30 мм, класс прочности 8.8.",thread_size=6; length_mm=30; strength_class=8.8,8.8,simple
11738-В-6-30-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×30 10.9 ГОСТ 11738-84,6,,,,,,,,,,,,,6,30,,10.9,A,,,,,,,False,11738-В-6-30-10.9,6,30,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 30 мм, класс прочности 10.9.",thread_size=6; length_mm=30; strength_class=10.9,10.9,simple
11738-В-6-40-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×40 8.8 ГОСТ 11738-84,6,,,,,,,,,,,,,6,40,,8.8,A,,,,,,,False,11738-В-6-40-8.8,6,40,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 40 мм, класс прочности 8.8.",thread_size=6; length_mm=40; strength_class=8.8,8.8,simple
11738-В-6-40-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M6×40 10.9 ГОСТ 11738-84,6,,,,,,,,,,,,,6,40,,10.9,A,,,,,,,False,11738-В-6-40-10.9,6,40,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M6, длина 40 мм, класс прочности 10.9.",thread_size=6; length_mm=40; strength_class=10.9,10.9,simple
11738-В-8-12-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×12 8.8 ГОСТ 11738-84,8,,,,,,,,,,,,,8,12,,8.8,A,,,,,,,False,11738-В-8-12-8.8,8,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 12 мм, класс прочности 8.8.",thread_size=8; length_mm=12; strength_class=8.8,8.8,simple
11738-В-8-12-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×12 10.9 ГОСТ 11738-84,8,,,,,,,,,,,,,8,12,,10.9,A,,,,,,,False,11738-В-8-12-10.9,8,12,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 12 мм, класс прочности 10.9.",thread_size=8; length_mm=12; strength_class=10.9,10.9,simple
11738-В-8-16-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×16 8.8 ГОСТ 11738-84,8,,,,,,,,,,,,,8,16,,8.8,A,,,,,,,False,11738-В-8-16-8.8,8,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 16 мм, класс прочности 8.8.",thread_size=8; length_mm=16; strength_class=8.8,8.8,simple
11738-В-8-16-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×16 10.9 ГОСТ 11738-84,8,,,,,,,,,,,,,8,16,,10.9,A,,,,,,,False,11738-В-8-16-10.9,8,16,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 16 мм, класс прочности 10.9.",thread_size=8; length_mm=16; strength_class=10.9,10.9,simple
11738-В-8-20-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×20 8.8 ГОСТ 11738-84,8,,,,,,,,,,,,,8,20,,8.8,A,,,,,,,False,11738-В-8-20-8.8,8,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 20 мм, класс прочности 8.8.",thread_size=8; length_mm=20; strength_class=8.8,8.8,simple
11738-В-8-20-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×20 10.9 ГОСТ 11738-84,8,,,,,,,,,,,,,8,20,,10.9,A,,,,,,,False,11738-В-8-20-10.9,8,20,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 20 мм, класс прочности 10.9.",thread_size=8; length_mm=20; strength_class=10.9,10.9,simple
11738-В-8-25-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×25 8.8 ГОСТ 11738-84,8,,,,,,,,,,,,,8,25,,8.8,A,,,,,,,False,11738-В-8-25-8.8,8,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 25 мм, класс прочности 8.8.",thread_size=8; length_mm=25; strength_class=8.8,8.8,simple
11738-В-8-25-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×25 10.9 ГОСТ 11738-84,8,,,,,,,,,,,,,8,25,,10.9,A,,,,,,,False,11738-В-8-25-10.9,8,25,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 25 мм, класс прочности 10.9.",thread_size=8; length_mm=25; strength_class=10.9,10.9,simple
11738-В-8-30-8.8,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×30 8.8 ГОСТ 11738-84,8,,,,,,,,,,,,,8,30,,8.8,A,,,,,,,False,11738-В-8-30-8.8,8,30,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 30 мм, класс прочности 8.8.",thread_size=8; length_mm=30; strength_class=8.8,8.8,simple
11738-В-8-30-10.9,ГОСТ 11738-1984,ГОСТ 11738-84,крепеж,Винт,В,Винт M8×30 10.9 ГОСТ 11738-84,8,,,,,,,,,,,,,8,30,,10.9,A,,,,,,,False,11738-В-8-30-10.9,8,30,"Винт с цилиндрической головкой и внутренним шестигранником по ГОСТ 11738-84 (аналог DIN 912). Резьба M8, длина 30 мм, класс прочности 10.9.",thread_size=8; length_mm=30; strength_class=10.9,10.9,simple
