sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,dim_execution,dim_bend_type,dim_radius_ratio,dim_connection,dim_construction,dim_radius_mm,dim_f_mm,dim_h_mm,dim_c_mm,dim_b_mm,dim_gost_designation,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,description,attributes,dim_w_mm,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_equal_pass,dim_length,dim_temperature,dim_height_mm,dim_cap_kind,dim_dimension_a,dim_flange_height_mm,dim_h1_mm,dim_surface_area_m2,dim_volume_dm3,dim_d_inner,dim_flange_thickness,dim_pn_mpa,dim_page,dim_bolt_circle_d,dim_stud_count,dim_outer_diameter,dim_h4,dim_bolt_d,dim_flange_type,dim_seal_face,dim_series,dim_mass_kg,dim_thread_size,dim_length_mm,dim_strength_class,dim_nominal_d_mm,dim_washer_type,dim_accuracy_class,dim_straight_length,dim_angle_length,dim_bend_length_l,dim_temperature_c,dim_pressure_standard,dim_length_l,dim_sector_h,dim_semi_sector_h_22_30,dim_pn_non_aggressive,dim_pn_aggressive,dim_arc_length,dim_developed_length,dim_developed_b,dim_wall_s1,dim_wall_sk,dim_pressure_group,dim_mass_method,dim_optional_execution,dim_data_source,dim_inner_diameter,dim_straight_length_1,dim_height_h,dim_figure,dim_pipe_od,dim_pipe_wall,dim_dao,dim_wall_s2,dim_with_support,dim_support_d
сто-79814898-112-44-800-820x10-45,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 45° 820x10 исп. 44 СТО 79814898 112-2009,800,,820,10,,,16,45,,200.7,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,44,,,,,45°-820x10-исп44,False,,44,,,,,,,,,,45°-820x10-исп44,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 45°. DN 800. Труба 820x10 мм. Dн1 820 мм. S1 10 мм. PN 16. Масса 200.7 кг.,dn=800; pn=16; outer_diameter=820; wall_thickness=10; angle=45; mass_kg=200.7; execution=44; gost_designation=45°-820x10-исп44; pipe_od=820; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,820,,,,,,200.7,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-45-900-920x10-45,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 45° 920x10 исп. 45 СТО 79814898 112-2009,900,,920,10,,,16,45,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,45,,,,,45°-920x10-исп45,False,,45,,,,,,,,,,45°-920x10-исп45,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 45°. DN 900. Труба 920x10 мм. Dн1 920 мм. S1 252.9 мм. PN 16. Масса  кг.,dn=900; pn=16; outer_diameter=920; wall_thickness=10; angle=45; execution=45; gost_designation=45°-920x10-исп45; pipe_od=920; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-46-1000-1020x10-45,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 45° 1020x10 исп. 46 СТО 79814898 112-2009,1000,,1020,10,,,16,45,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,46,,,,,45°-1020x10-исп46,False,,46,,,,,,,,,,45°-1020x10-исп46,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 45°. DN 1000. Труба 1020x10 мм. Dн1 1020 мм. S1 310.2 мм. PN 16. Масса  кг.,dn=1000; pn=16; outer_diameter=1020; wall_thickness=10; angle=45; execution=46; gost_designation=45°-1020x10-исп46; pipe_od=1020; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-47-1200-1220x10-45,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 45° 1220x10 исп. 47 СТО 79814898 112-2009,1200,,1220,10,,,16,45,,533.2,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,47,,,,,45°-1220x10-исп47,False,,47,,,,,,,,,,45°-1220x10-исп47,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 45°. DN 1200. Труба 1220x10 мм. Dн1 1220 мм. S1 12 мм. PN 16. Масса 533.2 кг.,dn=1200; pn=16; outer_diameter=1220; wall_thickness=10; angle=45; mass_kg=533.2; execution=47; gost_designation=45°-1220x10-исп47; pipe_od=1220; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,1220,,,,,,533.2,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-48-10-442-4-45,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,"Колено секторное 45° 442,4 исп. 48 СТО 79814898 112-2009",10,,,12,,,10,45,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,48,,,,,"45°-442,4-исп48",False,,48,,,,,,,,,,"45°-442,4-исп48",simple,,,,,onbackorder,no,"Колено секторное по СТО 79814898 112-2009. Угол 45°. DN 10. Труба 442,4 мм. Dн1  мм. S1 12 мм. PN 10. Масса  кг.","dn=10; pn=10; wall_thickness=12; angle=45; execution=48; gost_designation=45°-442,4-исп48; pipe_wall=12; pressure_group=PN 10; mass_method=табличная; data_source=html:79814898-112",,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-13-125-133x6-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 133x6 исп. 13 СТО 79814898 112-2009,125,,133,6,,,25,60,,7.3,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,13,,,,,60°-133x6-исп13,False,,13,,,,,,,,,,60°-133x6-исп13,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 125. Труба 133x6 мм. Dн1 133 мм. S1 6 мм. PN 25. Масса 7.3 кг.,dn=125; pn=25; outer_diameter=133; wall_thickness=6; angle=60; mass_kg=7.3; execution=13; gost_designation=60°-133x6-исп13; pipe_od=133; pipe_wall=6; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,133,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-14-150-159x6-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 159x6 исп. 14 СТО 79814898 112-2009,150,,159,6,,,25,60,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,14,,,,,60°-159x6-исп14,False,,14,,,,,,,,,,60°-159x6-исп14,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 150. Труба 159x6 мм. Dн1 159 мм. S1 9.2 мм. PN 25. Масса  кг.,dn=150; pn=25; outer_diameter=159; wall_thickness=6; angle=60; execution=14; gost_designation=60°-159x6-исп14; pipe_od=159; pipe_wall=6; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-15-200-219x11-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 219x11 исп. 15 СТО 79814898 112-2009,200,,219,11,,,25,60,,25.3,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,15,,,,,60°-219x11-исп15,False,,15,,,,,,,,,,60°-219x11-исп15,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 200. Труба 219x11 мм. Dн1 219 мм. S1 11 мм. PN 25. Масса 25.3 кг.,dn=200; pn=25; outer_diameter=219; wall_thickness=11; angle=60; mass_kg=25.3; execution=15; gost_designation=60°-219x11-исп15; pipe_od=219; pipe_wall=11; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,219,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-16-200-220x7-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 220x7 исп. 16 СТО 79814898 112-2009,200,,220,7,,,25,60,,15.9,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,16,,,,,60°-220x7-исп16,False,,16,,,,,,,,,,60°-220x7-исп16,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 200. Труба 220x7 мм. Dн1 220 мм. S1 7 мм. PN 25. Масса 15.9 кг.,dn=200; pn=25; outer_diameter=220; wall_thickness=7; angle=60; mass_kg=15.9; execution=16; gost_designation=60°-220x7-исп16; pipe_od=220; pipe_wall=7; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,220,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-17-250-273x11-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 273x11 исп. 17 СТО 79814898 112-2009,250,,273,11,,,25,60,,40,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,17,,,,,60°-273x11-исп17,False,,17,,,,,,,,,,60°-273x11-исп17,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 250. Труба 273x11 мм. Dн1 273 мм. S1 11 мм. PN 25. Масса 40 кг.,dn=250; pn=25; outer_diameter=273; wall_thickness=11; angle=60; mass_kg=40; execution=17; gost_designation=60°-273x11-исп17; pipe_od=273; pipe_wall=11; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,273,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-18-300-325x12-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 325x12 исп. 18 СТО 79814898 112-2009,300,,325,12,,,25,60,,60.5,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,18,,,,,60°-325x12-исп18,False,,18,,,,,,,,,,60°-325x12-исп18,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 300. Труба 325x12 мм. Dн1 325 мм. S1 12 мм. PN 25. Масса 60.5 кг.,dn=300; pn=25; outer_diameter=325; wall_thickness=12; angle=60; mass_kg=60.5; execution=18; gost_designation=60°-325x12-исп18; pipe_od=325; pipe_wall=12; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,325,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-49-350-377x6-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 377x6 исп. 49 СТО 79814898 112-2009,350,,377,6,,,25,60,,44.8,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,49,,,,,60°-377x6-исп49,False,,49,,,,,,,,,,60°-377x6-исп49,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 350. Труба 377x6 мм. Dн1 377 мм. S1 6 мм. PN 25. Масса 44.8 кг.,dn=350; pn=25; outer_diameter=377; wall_thickness=6; angle=60; mass_kg=44.8; execution=49; gost_designation=60°-377x6-исп49; pipe_od=377; pipe_wall=6; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,377,,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-50-400-426x8-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 426x8 исп. 50 СТО 79814898 112-2009,400,,426,8,,,25,60,,95,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,50,,,,,60°-426x8-исп50,False,,50,,,,,,,,,,60°-426x8-исп50,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 400. Труба 426x8 мм. Dн1 426 мм. S1 8 мм. PN 25. Масса 95 кг.,dn=400; pn=25; outer_diameter=426; wall_thickness=8; angle=60; mass_kg=95; execution=50; gost_designation=60°-426x8-исп50; pipe_od=426; pipe_wall=8; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,426,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-51-500-530x8-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 530x8 исп. 51 СТО 79814898 112-2009,500,,530,8,,,25,60,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,51,,,,,60°-530x8-исп51,False,,51,,,,,,,,,,60°-530x8-исп51,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 500. Труба 530x8 мм. Dн1 530 мм. S1 135.8 мм. PN 25. Масса  кг.,dn=500; pn=25; outer_diameter=530; wall_thickness=8; angle=60; execution=51; gost_designation=60°-530x8-исп51; pipe_od=530; pipe_wall=8; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-52-600-630x8-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 630x8 исп. 52 СТО 79814898 112-2009,600,,630,8,,,16,60,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,52,,,,,60°-630x8-исп52,False,,52,,,,,,,,,,60°-630x8-исп52,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 600. Труба 630x8 мм. Dн1 630 мм. S1 191.9 мм. PN 16. Масса  кг.,dn=600; pn=16; outer_diameter=630; wall_thickness=8; angle=60; execution=52; gost_designation=60°-630x8-исп52; pipe_od=630; pipe_wall=8; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-53-630x12-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 630x12 исп. 53 СТО 79814898 112-2009,,,630,12,,,25,60,,285.8,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,53,,,,,60°-630x12-исп53,False,,53,,,,,,,,,,60°-630x12-исп53,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN . Труба 630x12 мм. Dн1  мм. S1 12 мм. PN 25. Масса 285.8 кг.,pn=25; outer_diameter=630; wall_thickness=12; angle=60; mass_kg=285.8; execution=53; gost_designation=60°-630x12-исп53; pipe_od=630; pipe_wall=12; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,630,,,,,,285.8,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-54-700-720x10-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 720x10 исп. 54 СТО 79814898 112-2009,700,,720,10,,,25,60,,309.3,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,54,,,,,60°-720x10-исп54,False,,54,,,,,,,,,,60°-720x10-исп54,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 700. Труба 720x10 мм. Dн1 720 мм. S1 10 мм. PN 25. Масса 309.3 кг.,dn=700; pn=25; outer_diameter=720; wall_thickness=10; angle=60; mass_kg=309.3; execution=54; gost_designation=60°-720x10-исп54; pipe_od=720; pipe_wall=10; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,720,,,,,,309.3,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-55-800-820x10-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 820x10 исп. 55 СТО 79814898 112-2009,800,,820,10,,,25,60,,481.6,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,55,,,,,60°-820x10-исп55,False,,55,,,,,,,,,,60°-820x10-исп55,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 800. Труба 820x10 мм. Dн1 820 мм. S1 12 мм. PN 25. Масса 481.6 кг.,dn=800; pn=25; outer_diameter=820; wall_thickness=10; angle=60; mass_kg=481.6; execution=55; gost_designation=60°-820x10-исп55; pipe_od=820; pipe_wall=10; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,820,,,,,,481.6,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-56-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60°  исп. 56 СТО 79814898 112-2009,,,,10,,,16,60,,400.6,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,56,,,,,60°--исп56,False,,56,,,,,,,,,,60°--исп56,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN . Труба  мм. Dн1  мм. S1 10 мм. PN 16. Масса 400.6 кг.,pn=16; wall_thickness=10; angle=60; mass_kg=400.6; execution=56; gost_designation=60°--исп56; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,400.6,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-57-900-920x10-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 920x10 исп. 57 СТО 79814898 112-2009,900,,920,10,,,16,60,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,57,,,,,60°-920x10-исп57,False,,57,,,,,,,,,,60°-920x10-исп57,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 900. Труба 920x10 мм. Dн1 920 мм. S1 504.9 мм. PN 16. Масса  кг.,dn=900; pn=16; outer_diameter=920; wall_thickness=10; angle=60; execution=57; gost_designation=60°-920x10-исп57; pipe_od=920; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-58-1000-1020x10-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 1020x10 исп. 58 СТО 79814898 112-2009,1000,,1020,10,,,16,60,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,58,,,,,60°-1020x10-исп58,False,,58,,,,,,,,,,60°-1020x10-исп58,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 1000. Труба 1020x10 мм. Dн1 1020 мм. S1 619.7 мм. PN 16. Масса  кг.,dn=1000; pn=16; outer_diameter=1020; wall_thickness=10; angle=60; execution=58; gost_designation=60°-1020x10-исп58; pipe_od=1020; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-59-1200-1220x10-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 1220x10 исп. 59 СТО 79814898 112-2009,1200,,1220,10,,,16,60,,1064.9,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,59,,,,,60°-1220x10-исп59,False,,59,,,,,,,,,,60°-1220x10-исп59,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 1200. Труба 1220x10 мм. Dн1 1220 мм. S1 12 мм. PN 16. Масса 1064.9 кг.,dn=1200; pn=16; outer_diameter=1220; wall_thickness=10; angle=60; mass_kg=1064.9; execution=59; gost_designation=60°-1220x10-исп59; pipe_od=1220; pipe_wall=10; pressure_group=PN 16; mass_method=табличная; data_source=html:79814898-112,,,,,,16,,,,,,,,,,,,,,,,,1220,,,,,,1064.9,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-60-10-885-60,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 60° 885 исп. 60 СТО 79814898 112-2009,10,,,12,,,10,60,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,60,,,,,60°-885-исп60,False,,60,,,,,,,,,,60°-885-исп60,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 60°. DN 10. Труба 885 мм. Dн1  мм. S1 12 мм. PN 10. Масса  кг.,dn=10; pn=10; wall_thickness=12; angle=60; execution=60; gost_designation=60°-885-исп60; pipe_wall=12; pressure_group=PN 10; mass_method=табличная; data_source=html:79814898-112,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-19-125-133x6-90,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 90° 133x6 исп. 19 СТО 79814898 112-2009,125,,133,6,,,25,90,,12.1,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,19,,,,,90°-133x6-исп19,False,,19,,,,,,,,,,90°-133x6-исп19,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 90°. DN 125. Труба 133x6 мм. Dн1 133 мм. S1 6 мм. PN 25. Масса 12.1 кг.,dn=125; pn=25; outer_diameter=133; wall_thickness=6; angle=90; mass_kg=12.1; execution=19; gost_designation=90°-133x6-исп19; pipe_od=133; pipe_wall=6; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,133,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-20-150-159x6-90,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 90° 159x6 исп. 20 СТО 79814898 112-2009,150,,159,6,,,25,90,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,20,,,,,90°-159x6-исп20,False,,20,,,,,,,,,,90°-159x6-исп20,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 90°. DN 150. Труба 159x6 мм. Dн1 159 мм. S1 14.8 мм. PN 25. Масса  кг.,dn=150; pn=25; outer_diameter=159; wall_thickness=6; angle=90; execution=20; gost_designation=90°-159x6-исп20; pipe_od=159; pipe_wall=6; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-21-200-219x11-90,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 90° 219x11 исп. 21 СТО 79814898 112-2009,200,,219,11,,,25,90,,40.6,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,21,,,,,90°-219x11-исп21,False,,21,,,,,,,,,,90°-219x11-исп21,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 90°. DN 200. Труба 219x11 мм. Dн1 219 мм. S1 11 мм. PN 25. Масса 40.6 кг.,dn=200; pn=25; outer_diameter=219; wall_thickness=11; angle=90; mass_kg=40.6; execution=21; gost_designation=90°-219x11-исп21; pipe_od=219; pipe_wall=11; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,219,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-22-220x7-220-90,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 90° 220 исп. 22 СТО 79814898 112-2009,220x7,,7,25.9,,,25,90,,,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,22,,,,,90°-220-исп22,False,,22,,,,,,,,,,90°-220-исп22,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 90°. DN 220x7. Труба 220 мм. Dн1 7 мм. S1 25.9 мм. PN 25. Масса  кг.,dn=220x7; pn=25; outer_diameter=7; wall_thickness=25.9; angle=90; execution=22; gost_designation=90°-220-исп22; pipe_od=7; pipe_wall=25.9; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
сто-79814898-112-23-250-273x11-90,СТО 79814898 112-2009,СТО 79814898 112-2009,отводы,Отводы,КС,Колено секторное 90° 273x11 исп. 23 СТО 79814898 112-2009,250,,273,11,,,25,90,,56.6,,,pdf/отводы/СТО_79814898_112-2009.pdf,,,,,,23,,,,,90°-273x11-исп23,False,,23,,,,,,,,,,90°-273x11-исп23,simple,,,,,onbackorder,no,Колено секторное по СТО 79814898 112-2009. Угол 90°. DN 250. Труба 273x11 мм. Dн1 273 мм. S1 11 мм. PN 25. Масса 56.6 кг.,dn=250; pn=25; outer_diameter=273; wall_thickness=11; angle=90; mass_kg=56.6; execution=23; gost_designation=90°-273x11-исп23; pipe_od=273; pipe_wall=11; pressure_group=PN 25; mass_method=табличная; data_source=html:79814898-112,,,,,,25,,,,,,,,,,,,,,,,,273,,,,,,56.6,,,,,,,,,,,,,,,,,,,,,,,,,html:79814898-112,,,,,,,,,,
