слаг	заголовок	норматив	источник второго размера
troynik-273h11-ost-34-42-676-1984	Тройник 273х11 ОСТ 34-42-676-1984	ost-34-42-676-1984	потерян
troynik-325h13-ost-34-42-676-1984	Тройник 325х13 ОСТ 34-42-676-1984	ost-34-42-676-1984	потерян
troynik-133h11-125h11-ost-24-125-18-1989-2	Тройник 133×11 ОСТ 24.125.18-1989	ОСТ 24.125.18-1989	потерян
troynik-159h9-150h9-ost-24-125-18-1989-2	Тройник 159×9 ОСТ 24.125.18-1989	ОСТ 24.125.18-1989	потерян
troynik-219h12-200h12-ost-24-125-18-1989-2	Тройник 219×12 ОСТ 24.125.18-1989	ОСТ 24.125.18-1989	потерян
troynik-273h11-250h11-ost-24-125-18-1989-2	Тройник 273×11 ОСТ 24.125.18-1989	ОСТ 24.125.18-1989	потерян
troynik-325h12-300h12-ost-24-125-18-1989-2	Тройник 325×12 ОСТ 24.125.18-1989	ОСТ 24.125.18-1989	потерян
troynik-325h16-300h16-ost-24-125-18-1989-2	Тройник 325×16 ОСТ 24.125.18-1989	ОСТ 24.125.18-1989	потерян
troynik-1020h14-1000h14-ost-34-10-764-1997	Тройник 1020×14 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-1220h14-1200h14-ost-34-10-764-1997	Тройник 1220×14 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-159h5-150h5-ost-34-10-764-1997	Тройник 159×5 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-426h10-400h10-ost-34-10-764-1997	Тройник 426×10 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-630h12-600h12-ost-34-10-764-1997	Тройник 630×12 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-630h8-600h8-ost-34-10-764-1997	Тройник 630×8 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-720h9-700h9-ost-34-10-764-1997	Тройник 720×9 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-820h9-800h9-ost-34-10-764-1997	Тройник 820×9 ОСТ 34.10.764-1997	ОСТ 34-10-764-97	потерян
troynik-1220h14-1200h14-ost-34-10-765-1997	Тройник 1220×14 ОСТ 34.10.765-1997	ОСТ 34-10-765-97	потерян
troynik-perehodnoy-14h2-isp-04-st-20-ost-34-42-674-1984	Тройник переходной 14х2 исп. 04 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-14h2-isp-07-st-20-ost-34-42-674-1984	Тройник переходной 14х2 исп. 07 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-14h2-isp-16-st-20-ost-34-42-674-1984	Тройник переходной 14х2 исп. 16 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-18h2-isp-03-st-20-ost-34-42-674-1984	Тройник переходной 18х2 исп. 03 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-18h2-isp-08-st-20-ost-34-42-674-1984	Тройник переходной 18х2 исп. 08 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-18h2-isp-12-st-20-ost-34-42-674-1984	Тройник переходной 18х2 исп. 12 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-18h2-isp-17-st-20-ost-34-42-674-1984	Тройник переходной 18х2 исп. 17 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-25h2-isp-01-st-20-ost-34-42-674-1984	Тройник переходной 25х2 исп. 01 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-25h2-isp-09-st-20-ost-34-42-674-1984	Тройник переходной 25х2 исп. 09 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-32h2-isp-10-st-20-ost-34-42-674-1984	Тройник переходной 32х2 исп. 10 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-32h2-isp-14-st-20-ost-34-42-674-1984	Тройник переходной 32х2 исп. 14 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-32h2-isp-19-st-20-ost-34-42-674-1984	Тройник переходной 32х2 исп. 19 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-38h2-isp-05-st-20-ost-34-42-674-1984	Тройник переходной 38х2 исп. 05 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-38h2-isp-15-st-20-ost-34-42-674-1984	Тройник переходной 38х2 исп. 15 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-38h2-isp-20-st-20-ost-34-42-674-1984	Тройник переходной 38х2 исп. 20 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-57h3-isp-21-st-20-ost-34-42-674-1984	Тройник переходной 57х3 исп. 21 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
troynik-perehodnoy-76h3-isp-13-st-20-ost-34-42-674-1984	Тройник переходной 76х3 исп. 13 ст.20 ОСТ 34-42-674-1984	ОСТ 34-42-674-1984	потерян
