description;cnt;example
Отвод по СТО 321.02-2009. Угол 60°. DN 100. Наружный диаметр 108 мм. Толщина стенки 8 мм. Исполнение 054. PN 3.92 МПа. Температура 450°C. 3.92 МПа при 450°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-02-60-108h8-isp-054-sto-321-02/
Отвод по СТО 321.02-2009. Угол 45°. DN 100. Наружный диаметр 108 мм. Толщина стенки 8 мм. Исполнение 053. PN 3.92 МПа. Температура 450°C. 3.92 МПа при 450°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-02-45-108h8-isp-053-sto-321-02/
Отвод по СТО 321.02-2009. Угол 30°. DN 100. Наружный диаметр 108 мм. Толщина стенки 8 мм. Исполнение 052. PN 3.92 МПа. Температура 450°C. 3.92 МПа при 450°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-02-30-108h8-isp-052-sto-321-02/
Отвод по СТО 321.02-2009. Угол 15°. DN 100. Наружный диаметр 108 мм. Толщина стенки 8 мм. Исполнение 051. PN 3.92 МПа. Температура 450°C. 3.92 МПа при 450°C…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-02-15-108h8-isp-051-sto-321-02/
Отвод по СТО 321.01-2009. Угол 90°. DN 175. Наружный диаметр 219 мм. Толщина стенки 19 мм. Исполнение 060. PN 23.54 МПа. Температура 250°C. 23.54 МПа при…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-01-90-219h19-isp-060-sto-321-01/
Отвод по СТО 321.01-2009. Угол 60°. DN 175. Наружный диаметр 219 мм. Толщина стенки 19 мм. Исполнение 059. PN 23.54 МПа. Температура 250°C. 23.54 МПа при…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-01-60-219h19-isp-059-sto-321-01/
Отвод по СТО 321.01-2009. Угол 45°. DN 175. Наружный диаметр 219 мм. Толщина стенки 19 мм. Исполнение 058. PN 23.54 МПа. Температура 250°C. 23.54 МПа при…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-01-45-219h19-isp-058-sto-321-01/
Отвод по СТО 321.01-2009. Угол 30°. DN 175. Наружный диаметр 219 мм. Толщина стенки 19 мм. Исполнение 057. PN 23.54 МПа. Температура 250°C. 23.54 МПа при…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-01-30-219h19-isp-057-sto-321-01/
Отвод по СТО 321.01-2009. Угол 15°. DN 175. Наружный диаметр 219 мм. Толщина стенки 19 мм. Исполнение 056. PN 23.54 МПа. Температура 250°C. 23.54 МПа при…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-tskti-321-01-15-219h19-isp-056-sto-321-01/
Отвод по ОСТ 36-21-1977. Секционный сварной. Тип ОСС, радиус R≈1.5DN. Угол 90°. DN 800. Наружный диаметр 820 мм. Толщина стенки 12 мм. Исполнение 1. Давление…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-svarnoy-sektornyy-90-820h12-isp-1-ost-36-21-77/
Отвод по ОСТ 36-21-1977. Секционный сварной. Тип ОСС, радиус R≈1.5DN. Угол 60°. DN 800. Наружный диаметр 820 мм. Толщина стенки 12 мм. Исполнение 1. Давление…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-svarnoy-sektornyy-60-820h12-isp-1-ost-36-21-77/
Отвод по ОСТ 36-21-1977. Секционный сварной. Тип ОСС, радиус R≈1.5DN. Угол 45°. DN 800. Наружный диаметр 820 мм. Толщина стенки 12 мм. Исполнение 1. Давление…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-svarnoy-sektornyy-45-820h12-isp-1-ost-36-21-77/
Отвод по ОСТ 36-21-1977. Секционный сварной. Тип ОСС, радиус R≈1.5DN. Угол 30°. DN 800. Наружный диаметр 820 мм. Толщина стенки 12 мм. Исполнение 1. Давление…;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-svarnoy-sektornyy-30-820h12-isp-1-ost-36-21-77/
Отвод по ОСТ 34.10.420-1990. DN 600. Наружный диаметр 630 мм. Толщина стенки 12 мм. Исполнение 29. Марка стали 08Х18Н10Т. Масса 138.2 кг.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-630h12-isp-29-08h18n10t-ost-34-10-420-1990/
Отвод по ОСТ 34.10.418-1990. Угол 90°. DN 125. Наружный диаметр 133 мм. Толщина стенки 7 мм. Исполнение 5. Марка стали 12Х18Н10Т.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-133h7-ost-34-10-418-1990-2/
Отвод по ОСТ 34.10.418-1990. Угол 60°. DN 125. Наружный диаметр 133 мм. Толщина стенки 7 мм. Исполнение 15. Марка стали 12Х18Н10Т.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-133h7-ost-34-10-418-1990-3/
Отвод по ОСТ 34-42-661-1984. Угол 90°. DN 25. Наружный диаметр 32 мм. Толщина стенки 2 мм. Исполнение 90. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-90-32h2-st-20-ost-34-42-661-1984/
Отвод по ОСТ 34-42-661-1984. Угол 60°. DN 25. Наружный диаметр 32 мм. Толщина стенки 2 мм. Исполнение 60. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-60-32h2-st-20-ost-34-42-661-1984/
Отвод по ОСТ 34-42-661-1984. Угол 45°. DN 20. Наружный диаметр 25 мм. Толщина стенки 2 мм. Исполнение 45. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-45-25h2-st-20-ost-34-42-661-1984/
Отвод по ОСТ 34-42-661-1984. Угол 30°. DN 50. Наружный диаметр 57 мм. Толщина стенки 3 мм. Исполнение 30. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-30-57h3-st-20-ost-34-42-661-1984/
Отвод по ОСТ 34-42-661-1984. Угол 15°. DN 50. Наружный диаметр 57 мм. Толщина стенки 3 мм. Исполнение 15. Марка стали ст.20.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-gnutyy-15-57h3-st-20-ost-34-42-661-1984/
Отвод по ОСТ 34-42-661-1984. DN 50. Наружный диаметр 57 мм. Толщина стенки 3 мм. Исполнение 50. Марка стали ст.20. Масса 4.02 кг.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-57h3-r150-isp-50-st-20-ost-34-42-661-1984/
Отвод по ОСТ 24.125.35-1989. Угол 90°. DN 200. Наружный диаметр 219 мм. Толщина стенки 9 мм. Исполнение 19. PN 5.89 МПа. 5.89. Марка стали ст.20. Масса 48 кг.;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/koleno-90-219h9-r260-isp-19-st-20-ost-24-125-35-1989/
