h1;cnt;example
Отводы90°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-03-90/
Отводы60°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-03-60/
Отводы45°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-03-45/
Отводы30°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-03-30/
Отводгнутый90°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-22793-1983-90/
Отводгнутый60°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-22793-1983-60/
Отводгнутый45°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-22793-1983-45/
Отводгнутый30°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-22793-1983-30/
Отводгнутый15°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-22793-1983-15/
Отводгнутый ЦКТИ90°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-01-90/
Отводгнутый ЦКТИ60°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-01-60/
Отводгнутый ЦКТИ45°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-01-45/
Отводгнутый ЦКТИ30°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-01-30/
Отводгнутый ЦКТИ15°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/sto-321-01-15/
Отвод180°;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/seriya/gost-17375-2001-180/
Опорытрубопроводовнеподвижные и скользящие;2;https://prom-en.forgotaboutdre.ru/catalog/opory/
Заглушка Типоразмер DN1000 исп. 10 ОСТ 34.10.428-1990;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/zaglushka-1000h600-ost-34-10-428-1990/
Днищеэллиптическое D;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/dnishcha/seriya/gost-6533-1978/
Бобышка исп. Типоразмер ОСТ 24.125.57-1989;2;https://prom-en.forgotaboutdre.ru/catalog/sdt/zaglushki/bobyshka-isp-07-d48-s25-st-20-ost-24-125-57-1989/
Арматуразапорно-регулирующаязадвижки · клапаны · краны;2;https://prom-en.forgotaboutdre.ru/catalog/armatura/
