sku,normative_key,full_designation,category,product_family,product_type,title,dn,dn_branch,outer_diameter,wall_thickness,outer_d_branch,wall_branch,pn,angle,radius,mass_kg,material,standard_page,pdf_path,thread_size,length_mm,thread_pitch,strength_class,accuracy_class,execution,coating,material_grade,washer_type,nominal_d_mm,gost_designation,supervised,base_sku,description,attributes,woo_type,parent_sku,attr_steel,attr_supervised,regular_price,stock_status,manage_stock,dim_execution,dim_outer_d_branch,dim_wall_branch,dim_dy,dim_dy1,dim_pn,dim_temperature,dim_technology,dim_seam_type,dim_purpose,dim_shell,dim_source_subcategory,dim_gost_designation,dim_mass_method
гост-10704-91-эс-114x5-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 114х5 ГОСТ 10704-1991,100,,114,5,,,,,,13.44,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,114х5-10,False,гост-10704-91-эс-114x5-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 114 мм. Толщина стенки 5 мм. Теоретическая масса 13.44 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 114х5-10.,dn=100; outer_diameter=114; wall_thickness=5; mass_kg=13.44; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=114х5-10; source_subcategory=Электросварные,variable,,10|20,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,114х5-10,theoretical_kg_per_m
гост-10704-91-эс-114x5-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 114х5 Ст10 ГОСТ 10704-1991,100,,114,5,,,,,,13.44,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,114х5-10,False,гост-10704-91-эс-114x5-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 114 мм. Толщина стенки 5 мм. Теоретическая масса 13.44 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 114х5-10.,dn=100; outer_diameter=114; wall_thickness=5; mass_kg=13.44; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=114х5-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-114x5-bare,10,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,114х5-10,theoretical_kg_per_m
гост-10704-91-эс-114x5-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 114х5 Ст20 ГОСТ 10704-1991,100,,114,5,,,,,,13.44,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,114х5-20,False,гост-10704-91-эс-114x5-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 100. Наружный диаметр 114 мм. Толщина стенки 5 мм. Теоретическая масса 13.44 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 114х5-20.,dn=100; outer_diameter=114; wall_thickness=5; mass_kg=13.44; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=114х5-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-114x5-bare,20,Нет,,onbackorder,no,,,,100,,,,Электросварная,Прямошовная,,,Электросварные,114х5-20,theoretical_kg_per_m
гост-10704-91-эс-133x4-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 133х4 ГОСТ 10704-1991,125,,133,4,,,,,,12.73,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,133х4-10,False,гост-10704-91-эс-133x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 125. Наружный диаметр 133 мм. Толщина стенки 4 мм. Теоретическая масса 12.73 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 133х4-10.,dn=125; outer_diameter=133; wall_thickness=4; mass_kg=12.73; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=133х4-10; source_subcategory=Электросварные,variable,,10|20|Ст3сп,Нет,,onbackorder,no,,,,125,,,,Электросварная,Прямошовная,,,Электросварные,133х4-10,theoretical_kg_per_m
гост-10704-91-эс-133x4-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 133х4 Ст10 ГОСТ 10704-1991,125,,133,4,,,,,,12.73,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,133х4-10,False,гост-10704-91-эс-133x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 125. Наружный диаметр 133 мм. Толщина стенки 4 мм. Теоретическая масса 12.73 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 133х4-10.,dn=125; outer_diameter=133; wall_thickness=4; mass_kg=12.73; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=133х4-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-133x4-bare,10,Нет,,onbackorder,no,,,,125,,,,Электросварная,Прямошовная,,,Электросварные,133х4-10,theoretical_kg_per_m
гост-10704-91-эс-133x4-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 133х4 Ст20 ГОСТ 10704-1991,125,,133,4,,,,,,12.73,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,133х4-20,False,гост-10704-91-эс-133x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 125. Наружный диаметр 133 мм. Толщина стенки 4 мм. Теоретическая масса 12.73 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 133х4-20.,dn=125; outer_diameter=133; wall_thickness=4; mass_kg=12.73; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=133х4-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-133x4-bare,20,Нет,,onbackorder,no,,,,125,,,,Электросварная,Прямошовная,,,Электросварные,133х4-20,theoretical_kg_per_m
гост-10704-91-эс-133x4-bare-ст3сп,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 133х4 Ст3сп ГОСТ 10704-1991,125,,133,4,,,,,,12.73,Ст3сп,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,Ст3сп,,,133х4-Ст3сп,False,гост-10704-91-эс-133x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 125. Наружный диаметр 133 мм. Толщина стенки 4 мм. Теоретическая масса 12.73 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст3сп. Условное обозначение: 133х4-Ст3сп.,dn=125; outer_diameter=133; wall_thickness=4; mass_kg=12.73; material_grade=Ст3сп; technology=Электросварная; seam_type=Прямошовная; gost_designation=133х4-Ст3сп; source_subcategory=Электросварные,variation,гост-10704-91-эс-133x4-bare,Ст3сп,Нет,,onbackorder,no,,,,125,,,,Электросварная,Прямошовная,,,Электросварные,133х4-Ст3сп,theoretical_kg_per_m
гост-10704-91-эс-133x45-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,"Труба э/с 133х4,5 ГОСТ 10704-1991",125,,133,4.5,,,,,,14.26,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,133х4.5-10,False,гост-10704-91-эс-133x45-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 125. Наружный диаметр 133 мм. Толщина стенки 4.5 мм. Теоретическая масса 14.26 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 133х4.5-10.,dn=125; outer_diameter=133; wall_thickness=4.5; mass_kg=14.26; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=133х4.5-10; source_subcategory=Электросварные,variable,,10|20,Нет,,onbackorder,no,,,,125,,,,Электросварная,Прямошовная,,,Электросварные,133х4.5-10,theoretical_kg_per_m
гост-10704-91-эс-133x45-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,"Труба э/с 133х4,5 Ст10 ГОСТ 10704-1991",125,,133,4.5,,,,,,14.26,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,133х4.5-10,False,гост-10704-91-эс-133x45-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 125. Наружный диаметр 133 мм. Толщина стенки 4.5 мм. Теоретическая масса 14.26 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 133х4.5-10.,dn=125; outer_diameter=133; wall_thickness=4.5; mass_kg=14.26; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=133х4.5-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-133x45-bare,10,Нет,,onbackorder,no,,,,125,,,,Электросварная,Прямошовная,,,Электросварные,133х4.5-10,theoretical_kg_per_m
гост-10704-91-эс-133x45-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,"Труба э/с 133х4,5 Ст20 ГОСТ 10704-1991",125,,133,4.5,,,,,,14.26,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,133х4.5-20,False,гост-10704-91-эс-133x45-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 125. Наружный диаметр 133 мм. Толщина стенки 4.5 мм. Теоретическая масса 14.26 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 133х4.5-20.,dn=125; outer_diameter=133; wall_thickness=4.5; mass_kg=14.26; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=133х4.5-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-133x45-bare,20,Нет,,onbackorder,no,,,,125,,,,Электросварная,Прямошовная,,,Электросварные,133х4.5-20,theoretical_kg_per_m
гост-10704-91-эс-159x3-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х3 ГОСТ 10704-1991,150,,159,3,,,,,,11.54,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,159х3-10,False,гост-10704-91-эс-159x3-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 3 мм. Теоретическая масса 11.54 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 159х3-10.,dn=150; outer_diameter=159; wall_thickness=3; mass_kg=11.54; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х3-10; source_subcategory=Электросварные,variable,,10|20,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х3-10,theoretical_kg_per_m
гост-10704-91-эс-159x3-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х3 Ст10 ГОСТ 10704-1991,150,,159,3,,,,,,11.54,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,159х3-10,False,гост-10704-91-эс-159x3-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 3 мм. Теоретическая масса 11.54 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 159х3-10.,dn=150; outer_diameter=159; wall_thickness=3; mass_kg=11.54; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х3-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-159x3-bare,10,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х3-10,theoretical_kg_per_m
гост-10704-91-эс-159x3-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х3 Ст20 ГОСТ 10704-1991,150,,159,3,,,,,,11.54,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,159х3-20,False,гост-10704-91-эс-159x3-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 3 мм. Теоретическая масса 11.54 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 159х3-20.,dn=150; outer_diameter=159; wall_thickness=3; mass_kg=11.54; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х3-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-159x3-bare,20,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х3-20,theoretical_kg_per_m
гост-10704-91-эс-159x4-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х4 ГОСТ 10704-1991,150,,159,4,,,,,,15.29,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,159х4-10,False,гост-10704-91-эс-159x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 4 мм. Теоретическая масса 15.29 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 159х4-10.,dn=150; outer_diameter=159; wall_thickness=4; mass_kg=15.29; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х4-10; source_subcategory=Электросварные,variable,,10|20|Ст3сп,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х4-10,theoretical_kg_per_m
гост-10704-91-эс-159x4-bare-10,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х4 Ст10 ГОСТ 10704-1991,150,,159,4,,,,,,15.29,10,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,10,,,159х4-10,False,гост-10704-91-эс-159x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 4 мм. Теоретическая масса 15.29 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 159х4-10.,dn=150; outer_diameter=159; wall_thickness=4; mass_kg=15.29; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х4-10; source_subcategory=Электросварные,variation,гост-10704-91-эс-159x4-bare,10,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х4-10,theoretical_kg_per_m
гост-10704-91-эс-159x4-bare-20,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х4 Ст20 ГОСТ 10704-1991,150,,159,4,,,,,,15.29,20,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,20,,,159х4-20,False,гост-10704-91-эс-159x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 4 мм. Теоретическая масса 15.29 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст20. Условное обозначение: 159х4-20.,dn=150; outer_diameter=159; wall_thickness=4; mass_kg=15.29; material_grade=20; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х4-20; source_subcategory=Электросварные,variation,гост-10704-91-эс-159x4-bare,20,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х4-20,theoretical_kg_per_m
гост-10704-91-эс-159x4-bare-ст3сп,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х4 Ст3сп ГОСТ 10704-1991,150,,159,4,,,,,,15.29,Ст3сп,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,Ст3сп,,,159х4-Ст3сп,False,гост-10704-91-эс-159x4-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 4 мм. Теоретическая масса 15.29 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст3сп. Условное обозначение: 159х4-Ст3сп.,dn=150; outer_diameter=159; wall_thickness=4; mass_kg=15.29; material_grade=Ст3сп; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х4-Ст3сп; source_subcategory=Электросварные,variation,гост-10704-91-эс-159x4-bare,Ст3сп,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х4-Ст3сп,theoretical_kg_per_m
гост-10704-91-эс-159x6-bare,ГОСТ 10704-1991,ГОСТ 10704-1991,трубы,Трубы,ЭС,Труба э/с 159х6 ГОСТ 10704-1991,150,,159,6,,,,,,22.64,,,pdf/трубы/ГОСТ_10704_1991.pdf,,,,,,,,,,,159х6-10,False,гост-10704-91-эс-159x6-bare,Труба по ГОСТ 10704-91. Электросварная прямошовная. Тип ЭС. DN 150. Наружный диаметр 159 мм. Толщина стенки 6 мм. Теоретическая масса 22.64 кг/м. Технология: Электросварная. Тип шва: Прямошовная. Марка стали Ст10. Условное обозначение: 159х6-10.,dn=150; outer_diameter=159; wall_thickness=6; mass_kg=22.64; material_grade=10; technology=Электросварная; seam_type=Прямошовная; gost_designation=159х6-10; source_subcategory=Электросварные,variable,,10|20|Ст3сп,Нет,,onbackorder,no,,,,150,,,,Электросварная,Прямошовная,,,Электросварные,159х6-10,theoretical_kg_per_m
