title;cnt;example
Переход 630×8-530×8 ОСТ 34-10-424-90 — Промышленная Энергетика;5;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-500-530-8-ost-34-10-424-1990-2/
Фланец ФП DN400 ГОСТ 12820-80 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn400-gost-12820-1980-2/
Фланец ФП DN40 ГОСТ 12820-80 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn40-gost-12820-1980-4/
Фланец ФП DN300 ГОСТ 12820-80 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn300-gost-12820-1980-4/
Фланец ФП DN100 ГОСТ 12820-80 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn100-gost-12820-1980-4/
Переход 920×10-920×10 ОСТ 34-10-424-90 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-1000-900-920-10-ost-34-10-424-1990-2/
Переход 89×5-89×5 ОСТ 34-10-422-90 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-89h5-89h5-ost-34-10-422-1990-2/
Переход 630×8-426×8 ОСТ 34-10-424-90 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-400-426-8-ost-34-10-424-1990-2/
Переход 630×6-377×6 ОСТ 34-10-424-90 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-600-350-377-6-ost-34-10-424-1990-2/
Переход 159×6-159×6 ОСТ 34-10-422-90 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-159h6-159h6-ost-34-10-422-1990-2/
Переход 133×6-133×6 ОСТ 34-10-422-90 — Промышленная Энергетика;4;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-133h6-133h6-ost-34-10-422-1990-2/
Фланец ФП DN800 ГОСТ 12820-80 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn800-gost-12820-1980-2/
Фланец ФП DN600 ГОСТ 12820-80 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn600-gost-12820-1980-2/
Фланец ФП DN500 ГОСТ 12820-80 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn500-gost-12820-1980-2/
Фланец ФП DN50 ГОСТ 12820-80 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn50-gost-12820-1980-5/
Фланец ФП DN25 ГОСТ 12820-80 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn25-gost-12820-1980-5/
Фланец ФП DN1350 ГОСТ 28759.2-2022 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1350-gost-28759-2-2022-2/
Фланец ОК DN150 ОСТ 24.125.25-89 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn150-ost-24-125-25-1989-2/
Фланец ОК DN125 ОСТ 24.125.25-89 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn125-ost-24-125-25-1989-2/
Фланец ОК DN100 ОСТ 24.125.25-89 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn100-ost-24-125-25-1989-2/
Фланец 1400-11-1-B-IV ГОСТ 33259-2015 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-11/flanec-1400-11-1-b-iv-gost-33259-2015-2/
Переход 920×10-530×8 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-900-500-920-10-530-8-ost-34-10-424-1990-2/
Переход 820×8-530×8 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-800-500-530-8-ost-34-10-424-1990-2/
Переход 820×10-426×8 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-800-400-820-10-426-8-ost-34-10-424-1990-2/
Переход 76×4.5-76×4.5 ОСТ 34-10-422-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-76h4-5-76h4-5-ost-34-10-422-1990-2/
Переход 720×8-630×8 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-700-600-630-8-ost-34-10-424-1990-2/
Переход 720×10-377×6 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-700-350-720-10-377-6-ost-34-10-424-1990-2/
Переход 530×8-426×8 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-500-400-426-8-ost-34-10-424-1990-2/
Переход 530×8-273×11 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-500-250-530-8-273-11-ost-34-10-424-1990-2/
Переход 426×6-377×6 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-400-350-377-6-ost-34-10-424-1990-2/
Переход 377×12-325×12 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-350-300-325-12-ost-34-10-424-1990-2/
Переход 220×7-220×7 ОСТ 34-10-422-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-220h7-220h7-ost-34-10-422-1990-2/
Переход 219×11-219×11 ОСТ 34-10-422-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-219h11-219h11-ost-34-10-422-1990-2/
Переход 1220×10-1020×10 ОСТ 34-10-424-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-1200-1000-1020-10-ost-34-10-424-1990-2/
Переход 108×5-108×5 ОСТ 34-10-422-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/perekhody/perehod-k-108h5-108h5-ost-34-10-422-1990-2/
Отвод 325х12 ОСТ 34-10-418-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-325h12-ost-34-10-418-1990-2/
Отвод 220х7 ОСТ 34-10-418-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-220h7-ost-34-10-418-1990-2/
Отвод 219х11 СТО 79814898.111-2009 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-219h11-sto-79814898-111-2009-2/
Отвод 219х11 ОСТ 34-10-418-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-219h11-ost-34-10-418-1990-2/
Отвод 159х8 ОСТ 34-10-418-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-159h8-ost-34-10-418-1990-2/
Отвод 159х17 ОСТ 24.125.07-89 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-159h17-ost-24-125-07-1989-2/
Отвод 133х7 ОСТ 34-10-418-90 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-133h7-ost-34-10-418-1990-2/
Отвод 133х14 ОСТ 24.125.07-89 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/sdt/otvody/otvod-133h14-ost-24-125-07-1989-2/
Задвижка клиновая стальная ГОСТ 33257-2015 — Промышленная Энергетика;3;https://prom-en.forgotaboutdre.ru/catalog/armatura/armatura-klapany/seriya/gost-33257-2015/
Фланец трубопроводный ГОСТ 33259-2015 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-01/seriya/gost-33259-2015/
Фланец ФП DN945 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn945-gost-28759-2-2022-2/
Фланец ФП DN920 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn920-gost-28759-2-2022-2/
Фланец ФП DN840 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn840-gost-28759-2-2022-2/
Фланец ФП DN820 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn820-gost-28759-2-2022-2/
Фланец ФП DN790 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn790-gost-28759-2-2022-2/
Фланец ФП DN770 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn770-gost-28759-2-2022-2/
Фланец ФП DN740 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn740-gost-28759-2-2022-2/
Фланец ФП DN720 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn720-gost-28759-2-2022-2/
Фланец ФП DN1630 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1630-gost-28759-2-2022-2/
Фланец ФП DN1550 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1550-gost-28759-2-2022-2/
Фланец ФП DN1530 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1530-gost-28759-2-2022-2/
Фланец ФП DN15 ГОСТ 12820-80 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn15-gost-12820-1980-6/
Фланец ФП DN1450 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1450-gost-28759-2-2022-2/
Фланец ФП DN1330 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1330-gost-28759-2-2022-2/
Фланец ФП DN1250 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1250-gost-28759-2-2022-2/
Фланец ФП DN1230 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1230-gost-28759-2-2022-2/
Фланец ФП DN1145 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1145-gost-28759-2-2022-2/
Фланец ФП DN1130 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1130-gost-28759-2-2022-2/
Фланец ФП DN1045 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1045-gost-28759-2-2022-2/
Фланец ФП DN1030 ГОСТ 28759.2-2022 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-fp-dn1030-gost-28759-2-2022-2/
Фланец ОК DN80 ОСТ 24.125.25-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn80-ost-24-125-25-1989-2/
Фланец ОК DN65 ОСТ 24.125.25-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn65-ost-24-125-25-1989-2/
Фланец ОК DN50 ОСТ 24.125.25-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn50-ost-24-125-25-1989-2/
Фланец ОК DN300 ОСТ 24.125.25-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn300-ost-24-125-25-1989-2/
Фланец ОК DN200 ОСТ 24.125.25-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flanec-ok-dn200-ost-24-125-25-1989-2/
Фланец 89х8.0 исп. 07 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-89h8-0-isp-07-08h18n10t-ost-24-125-24-1989-2/
Фланец 89х5.0 исп. 30 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-89h5-0-isp-30-08h18n10t-ost-24-125-24-1989-2/
Фланец 89х5.0 исп. 22 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-89h5-0-isp-22-08h18n10t-ost-24-125-24-1989-2/
Фланец 76х7.0 исп. 06 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-76h7-0-isp-06-08h18n10t-ost-24-125-24-1989-2/
Фланец 76х4.5 исп. 29 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-76h4-5-isp-29-08h18n10t-ost-24-125-24-1989-2/
Фланец 76х4.5 исп. 21 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-76h4-5-isp-21-08h18n10t-ost-24-125-24-1989-2/
Фланец 57х5.5 исп. 05 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-57h5-5-isp-05-08h18n10t-ost-24-125-24-1989-2/
Фланец 57х4.0 исп. 28 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-57h4-0-isp-28-08h18n10t-ost-24-125-24-1989-2/
Фланец 57х4.0 исп. 20 08Х18Н10Т ОСТ 24.125.24-89 — Промышленная Энергетика;2;https://prom-en.forgotaboutdre.ru/catalog/flancy/flancy-plosk/flanec-57h4-0-isp-20-08h18n10t-ost-24-125-24-1989-2/
